accession_in_sys	type	subtype	species	sys_id	sys_beg	sys_end	duplicate_count	rank	defense_system_protein_id	defense_system_cluster_id	cluster_id	protein_id	evalue	cluFlag	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue_foldseek	bits	Reviewed	Entry Name	Protein names	Gene Names	Organism	Gene Names (ordered locus)	Gene Names (ORF)	Gene Names (primary)	Gene Names (synonym)	Proteomes	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	CDD	FunFam	Gene3D	InterPro	PANTHER	Pfam	PROSITE	SMART	RefSeq	Query_range	Query_length	Human_prot_total_length	Human_prot_domain_match	Human_domain_percentage	Query_percentage	Query_overlap_w_Human_protein	Human_domain_note	Human_domain_evidence	Target_range	Target_length	Bacterial_prot_total_length	Bacterial_prot_domain_match	Bacterial_domain_percentage	Target_percentage	Target_overlap_w_Bacterial_protein	Bacterial_domain_note	Bacterial_domain_evidence	Bacterial_Human_Len_Ratio	Query_Target_Overlap_Length	Overlap_ratio	Protein_length_difference	neg_log(evalue_foldseek)	defense_system_protein_AF_file	protein_AF_file	PyMOL_aligned_filePath	PyMOL_RMSD	PyMOL_aligned_atoms
WP_064339933.1	Zorya	Zorya_TypeI	Aeromonas allosaccharophila	GCF_016026615_NZ_CP065745_Zorya_TypeI_1	GCF_016026615.1_NZ_CP065745_01535	GCF_016026615.1_NZ_CP065745_01538	1	202	A0A7T2PI71	A0A7S4UXI5	A0A7V5L414	J3QKZ9	0.8555	1	0.13	131	105	0.0	1	122	580	710	0.0702	33	unreviewed	J3QKZ9_HUMAN	ATP-dependent RNA helicase (EC 3.6.4.13)	EIF4A1	Homo sapiens (Human)			EIF4A1		UP000005640: Chromosome 17			ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	GO:0003723; GO:0003724; GO:0005524; GO:0016787			3.40.50.300; P-loop containing nucleotide triphosphate hydrolases; 1.;	"IPR011545; DEAD/DEAH_box_helicase_dom.;""IPR014001; Helicase_ATP-bd."";""IPR027417; P-loop_NTPase."";""IPR014014; RNA_helicase_DEAD_Q_motif."";"	PTHR24031; RNA HELICASE; 1.;	PF00270; DEAD; 1.;	"PS51192; HELICASE_ATP_BIND_1; 1.;""PS51195; Q_MOTIF; 1."";"	SM00487; DEXDc; 1.;		1.0..122.0	122	134	27..134	88.89	78.69	91.04	['Helicase ATP-binding']	['ECO:0000259|PROSITE:PS51192']	580.0..710.0	131	1080	598..781	61.41	86.26	12.13	['Helicase ATP-binding']	['ECO:0000259|PROSITE:PS51192']	8.059701493	122.0	0.910447761	7.059701492537313	1.1536628878701944	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A7T2PI71_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/J3QKZ9_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A7T2PI71_J3QKZ9_aligned.pse	15.649989	562
WP_197743802.1	Zorya	Zorya_TypeII	Candidatus Nitrosacidococcus tergens	GCF_902810445_NZ_LR778175_Zorya_TypeII_1	GCF_902810445.1_NZ_LR778175_01043	GCF_902810445.1_NZ_LR778175_01045	1	202	A0A7G1QA30	A0A1T4LJB9	W7QDG2	C8YGS5	0.5051	1	0.137	268	226	0.0	331	598	11	273	0.3299	17	unreviewed	C8YGS5_HUMAN	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	ND5	Homo sapiens (Human)			ND5			ATP synthesis coupled electron transport [GO:0042773]	mitochondrial inner membrane [GO:0005743]	mitochondrial inner membrane [GO:0005743]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]	GO:0005743; GO:0008137; GO:0042773				"IPR010934; NADH_DH_su5_C.;""IPR018393; NADHpl_OxRdtase_5_subgr."";""IPR001750; ND/Mrp_TM."";""IPR003945; NU5C-like."";""IPR001516; Proton_antipo_N."";"	"PTHR42829; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1.;""PTHR42829:SF2; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1."";"	"PF06455; NADH5_C; 1.;""PF00361; Proton_antipo_M; 1."";""PF00662; Proton_antipo_N; 1."";"				331.0..598.0	268	603	134..419	31.12	33.21	44.44	['NADH:quinone oxidoreductase/Mrp antiporter transmembrane']	['ECO:0000259|Pfam:PF00361']	11.0..273.0	263	702							1.164179104	263.0	0.43615257	0.16417910447761197	0.481617684454656	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A7G1QA30_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/C8YGS5_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A7G1QA30_C8YGS5_aligned.pse	55.058041	2659
WP_013067028.1	Zorya	Zorya_TypeI	Rhodobacter capsulatus	GCF_000021865_NC_014034_Zorya_TypeI_2	GCF_000021865.1_NC_014034_01307	GCF_000021865.1_NC_014034_01310	1	202	D5ASF8	A0A101WRB2	A0A4W5N4R5	Q9H4E3	5.941e-9	2	0.128	518	344	0.0	9	404	474	991	9.816e-11	212	unreviewed	Q9H4E3_HUMAN	Probable ATP-dependent RNA helicase DDX47 (EC 3.6.4.13) (DEAD box protein 47)	E4-DBP	Homo sapiens (Human)			E4-DBP			RNA metabolic process [GO:0016070]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]; RNA metabolic process [GO:0016070]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]	GO:0003676; GO:0003724; GO:0005524; GO:0005634; GO:0005737; GO:0016070; GO:0016787	"cd17954; DEADc_DDX47; 1.;""cd18787; SF2_C_DEAD; 1."";"	"3.40.50.300:FF:000626; probable ATP-dependent RNA helicase DDX47; 1.;""3.40.50.300:FF:000681; probable ATP-dependent RNA helicase DDX47; 1."";"	3.40.50.300; P-loop containing nucleotide triphosphate hydrolases; 2.;	"IPR044765; DDX47/Rrp3_DEADc.;""IPR011545; DEAD/DEAH_box_helicase_dom."";""IPR050079; DEAD_box_RNA_helicase."";""IPR014001; Helicase_ATP-bd."";""IPR001650; Helicase_C-like."";""IPR027417; P-loop_NTPase."";""IPR000629; RNA-helicase_DEAD-box_CS."";""IPR014014; RNA_helicase_DEAD_Q_motif."";"	"PTHR47959; ATP-DEPENDENT RNA HELICASE RHLE-RELATED; 1.;""PTHR47959:SF20; RNA HELICASE; 1."";"	"PF00270; DEAD; 1.;""PF00271; Helicase_C; 1."";"	"PS00039; DEAD_ATP_HELICASE; 1.;""PS51192; HELICASE_ATP_BIND_1; 1."";""PS51194; HELICASE_CTER; 1."";""PS51195; Q_MOTIF; 1."";"	"SM00487; DEXDc; 1.;""SM00490; HELICc; 1."";"		9.0..404.0	396	455	24..52	100.0	7.32	87.03	['DEAD-box RNA helicase Q']	['ECO:0000259|PROSITE:PS51195']	474.0..991.0	518	1030	817..987	100.0	33.01	50.29	['Helicase C-terminal']	['ECO:0000259|PROSITE:PS51194']	2.263736264	396.0	0.87032967	1.2637362637362637	10.008065450281052	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/D5ASF8_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/Q9H4E3_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/D5ASF8_Q9H4E3_aligned.pse	3.343916	1430
WP_089067950.1	Zorya	Zorya_TypeII	Shewanella bicestrii	GCF_002216875_NZ_CP022358_Zorya_TypeII_2	GCF_002216875.1_NZ_CP022358_02309	GCF_002216875.1_NZ_CP022358_02314	1	202	A0A220UNN1	A0A1T4LJB9	W7QDG2	A0A7D5U223	0.5051	1	0.132	274	234	0.0	331	601	18	291	0.6548	14	unreviewed	A0A7D5U223_HUMAN	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	ND5	Homo sapiens (Human)			ND5			ATP synthesis coupled electron transport [GO:0042773]	mitochondrial inner membrane [GO:0005743]	mitochondrial inner membrane [GO:0005743]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]	GO:0005743; GO:0008137; GO:0042773				"IPR010934; NADH_DH_su5_C.;""IPR018393; NADHpl_OxRdtase_5_subgr."";""IPR001750; ND/Mrp_TM."";""IPR003945; NU5C-like."";""IPR001516; Proton_antipo_N."";"	"PTHR42829; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1.;""PTHR42829:SF2; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1."";"	"PF06455; NADH5_C; 1.;""PF00361; Proton_antipo_M; 1."";""PF00662; Proton_antipo_N; 1."";"				331.0..601.0	271	603	422..602	99.45	66.42	44.94	['NADH dehydrogenase subunit 5 C-terminal']	['ECO:0000259|Pfam:PF06455']	18.0..291.0	274	583							0.966832504	271.0	0.46483705	0.03316749585406298	0.18389132926009613	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A220UNN1_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A7D5U223_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A220UNN1_A0A7D5U223_aligned.pse	74.314224	2732
WP_005598133.1	Zorya	Zorya_TypeII	Actinobacillus pleuropneumoniae	GCF_021957085_NZ_CP031865_Zorya_TypeII_1,GCF_021957045_NZ_CP031863_Zorya_TypeII_1	GCF_021957045.1_NZ_CP031863_01300,GCF_021957085.1_NZ_CP031865_01298	GCF_021957045.1_NZ_CP031863_01302,GCF_021957085.1_NZ_CP031865_01300	2	201	B4XH94	A0A1T4LJB9	W7QDG2	A0A1J0Q120	0.5051	1	0.117	431	317	0.0	170	600	10	369	0.06773	18	unreviewed	A0A1J0Q120_HUMAN	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	ND5	Homo sapiens (Human)			ND5			ATP synthesis coupled electron transport [GO:0042773]	mitochondrial inner membrane [GO:0005743]	mitochondrial inner membrane [GO:0005743]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]	GO:0005743; GO:0008137; GO:0042773				"IPR010934; NADH_DH_su5_C.;""IPR018393; NADHpl_OxRdtase_5_subgr."";""IPR001750; ND/Mrp_TM."";""IPR003945; NU5C-like."";""IPR001516; Proton_antipo_N."";"	"PTHR42829; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1.;""PTHR42829:SF2; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1."";"	"PF06455; NADH5_C; 1.;""PF00361; Proton_antipo_M; 1."";""PF00662; Proton_antipo_N; 1."";"				170.0..600.0	431	603	134..419	87.41	58.0	71.48	['NADH:quinone oxidoreductase/Mrp antiporter transmembrane']	['ECO:0000259|Pfam:PF00361']	10.0..369.0	360	552	49..124	100.0	21.11	65.22	['MotA/TolQ/ExbB proton channel']	['ECO:0000259|Pfam:PF01618']	0.915422886	360.0	0.652173913	0.08457711442786064	1.1692189243936388	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/B4XH94_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A1J0Q120_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/B4XH94_A0A1J0Q120_aligned.pse	78.995865	2473
WP_015280691.1	Zorya	Zorya_TypeI	Thioflavicoccus mobilis	GCF_000327045_NC_019940_Zorya_TypeI_5	GCF_000327045.1_NC_019940_01759	GCF_000327045.1_NC_019940_01762	1	202	L0GYV0	A0A355UP19	A0A4W5N4R5	J3KTA4	3.099e-12	1	0.135	482	311	0.0	118	477	478	959	8.794e-12	254	unreviewed	J3KTA4_HUMAN	Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box protein 5)	DDX5	Homo sapiens (Human)			DDX5		UP000005640: Chromosome 17	mRNA processing [GO:0006397]; rhythmic process [GO:0048511]; RNA splicing [GO:0008380]	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]; mRNA processing [GO:0006397]; rhythmic process [GO:0048511]; RNA splicing [GO:0008380]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]	GO:0003676; GO:0003724; GO:0005524; GO:0005654; GO:0005681; GO:0005730; GO:0005737; GO:0006397; GO:0008380; GO:0016787; GO:0048511	"cd18049; DEADc_DDX5; 1.;""cd18787; SF2_C_DEAD; 1."";"	"3.40.50.300:FF:000008; ATP-dependent RNA helicase RhlB; 1.;""3.40.50.300:FF:000079; probable ATP-dependent RNA helicase DDX17; 1."";"	3.40.50.300; P-loop containing nucleotide triphosphate hydrolases; 2.;	"IPR011545; DEAD/DEAH_box_helicase_dom.;""IPR014001; Helicase_ATP-bd."";""IPR001650; Helicase_C-like."";""IPR027417; P-loop_NTPase."";""IPR012587; P68_rpt."";""IPR000629; RNA-helicase_DEAD-box_CS."";""IPR014014; RNA_helicase_DEAD_Q_motif."";"	PTHR47958; ATP-DEPENDENT RNA HELICASE DBP3; 1.;	"PF00270; DEAD; 1.;""PF00271; Helicase_C; 1."";""PF08061; P68HR; 2."";"	"PS00039; DEAD_ATP_HELICASE; 1.;""PS51192; HELICASE_ATP_BIND_1; 1."";""PS51194; HELICASE_CTER; 1."";""PS51195; Q_MOTIF; 1."";"	"SM00487; DEXDc; 1.;""SM00490; HELICc; 1."";""SM01414; P68HR; 2."";"	NP_001307526.1; NM_001320597.2.;	118.0..477.0	360	614	328..475	100.0	41.11	58.63	['Helicase C-terminal']	['ECO:0000259|PROSITE:PS51194']	478.0..959.0	482	966	490..665	100.0	36.51	49.9	['Helicase ATP-binding']	['ECO:0000259|PROSITE:PS51192']	1.573289902	360.0	0.586319218	0.5732899022801303	11.055813538716313	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/L0GYV0_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/J3KTA4_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/L0GYV0_J3KTA4_aligned.pse	3.135239	1556
WP_053380697.1	Zorya	Zorya_TypeI	Nitrospira moscoviensis	GCF_001273775_NZ_CP011801_Zorya_TypeI_1	GCF_001273775.1_NZ_CP011801_03090	GCF_001273775.1_NZ_CP011801_03093	1	202	A0A0K2GFK9	A0A101WRB2	A0A2V2KXY9	F6T542	0.00004433	1	0.262	79	55	0.0	9	83	951	1029	0.004368	84	unreviewed	F6T542_HUMAN	Chromodomain helicase DNA binding protein 5	CHD5	Homo sapiens (Human)			CHD5		UP000005640: Chromosome 1	chromatin remodeling [GO:0006338]		ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; chromatin remodeling [GO:0006338]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]	GO:0005524; GO:0006338; GO:0016787	cd18793; SF2_C_SNF; 1.;		3.40.50.300; P-loop containing nucleotide triphosphate hydrolases; 1.;	"IPR001650; Helicase_C-like.;""IPR027417; P-loop_NTPase."";""IPR049730; SNF2/RAD54-like_C."";"	"PTHR45623; CHROMODOMAIN-HELICASE-DNA-BINDING PROTEIN 3-RELATED-RELATED; 1.;""PTHR45623:SF6; CHROMODOMAIN-HELICASE-DNA-BINDING PROTEIN 5; 1."";"	PF00271; Helicase_C; 1.;	PS51194; HELICASE_CTER; 1.;	SM00490; HELICc; 1.;		9.0..83.0	75	110	1..110	68.18	100.0	68.18	['Helicase C-terminal']	['ECO:0000259|PROSITE:PS51194']	951.0..1029.0	79	1244	915..1087	45.66	100.0	6.35	['Helicase C-terminal']	['ECO:0000259|PROSITE:PS51194']	11.30909091	75.0	0.681818182	10.309090909090909	2.359717370303319	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A0K2GFK9_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/F6T542_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A0K2GFK9_F6T542_aligned.pse	2.502394	427
WP_089067950.1	Zorya	Zorya_TypeII	Shewanella bicestrii	GCF_002216875_NZ_CP022358_Zorya_TypeII_2	GCF_002216875.1_NZ_CP022358_02309	GCF_002216875.1_NZ_CP022358_02314	1	202	A0A220UNN1	A0A1T4LJB9	W7QDG2	A0A3Q8A5P0	0.5051	1	0.127	274	236	0.0	331	601	18	291	0.2966	20	unreviewed	A0A3Q8A5P0_HUMAN	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	ND5	Homo sapiens (Human)			ND5			ATP synthesis coupled electron transport [GO:0042773]	mitochondrial inner membrane [GO:0005743]	mitochondrial inner membrane [GO:0005743]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]	GO:0005743; GO:0008137; GO:0042773				"IPR010934; NADH_DH_su5_C.;""IPR018393; NADHpl_OxRdtase_5_subgr."";""IPR001750; ND/Mrp_TM."";""IPR003945; NU5C-like."";""IPR001516; Proton_antipo_N."";"	"PTHR42829; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1.;""PTHR42829:SF2; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1."";"	"PF06455; NADH5_C; 1.;""PF00361; Proton_antipo_M; 1."";""PF00662; Proton_antipo_N; 1."";"				331.0..601.0	271	603	422..602	99.45	66.42	44.94	['NADH dehydrogenase subunit 5 C-terminal']	['ECO:0000259|Pfam:PF06455']	18.0..291.0	274	583							0.966832504	271.0	0.46483705	0.03316749585406298	0.5278288533076368	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A220UNN1_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A3Q8A5P0_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A220UNN1_A0A3Q8A5P0_aligned.pse	74.408264	2725
WP_095847161.1	Zorya	Zorya_TypeI	Gibbsiella quercinecans	GCF_002291425_NZ_CP014136_Zorya_TypeI_3	GCF_002291425.1_NZ_CP014136_03093	GCF_002291425.1_NZ_CP014136_03096	1	202	A0A250B3B6	A0A101WRB2	A0A821NB32	B4DSC8	2.463e-26	1	0.233	517	385	0.0	10	526	523	1025	4.593e-28	745	unreviewed	B4DSC8_HUMAN	cDNA FLJ53181, highly similar to Probable global transcription activator SNF2L2		Homo sapiens (Human)							SWI/SNF complex [GO:0016514]	SWI/SNF complex [GO:0016514]; ATP binding [GO:0005524]; helicase activity [GO:0004386]; histone binding [GO:0042393]; hydrolase activity [GO:0016787]	ATP binding [GO:0005524]; helicase activity [GO:0004386]; histone binding [GO:0042393]; hydrolase activity [GO:0016787]	GO:0004386; GO:0005524; GO:0016514; GO:0016787; GO:0042393	"cd17996; DEXHc_SMARCA2_SMARCA4; 1.;""cd18793; SF2_C_SNF; 1."";"	"3.40.50.10810:FF:000008; Chromatin structure-remodeling complex subunit snf21; 1.;""3.40.50.300:FF:003020; SNF2-related domain-containing protein; 1."";"	"1.20.920.10; Bromodomain-like; 1.;""3.40.50.300; P-loop containing nucleotide triphosphate hydrolases; 1."";""3.40.50.10810; Tandem AAA-ATPase domain; 1."";"	"IPR001487; Bromodomain.;""IPR036427; Bromodomain-like_sf."";""IPR014001; Helicase_ATP-bd."";""IPR001650; Helicase_C-like."";""IPR027417; P-loop_NTPase."";""IPR029295; SnAC."";""IPR038718; SNF2-like_sf."";""IPR049730; SNF2/RAD54-like_C."";""IPR000330; SNF2_N."";"	PTHR10799; SNF2/RAD54 HELICASE FAMILY; 1.;	"PF00271; Helicase_C; 1.;""PF14619; SnAC; 1."";""PF00176; SNF2-rel_dom; 1."";"	"PS50014; BROMODOMAIN_2; 1.;""PS51192; HELICASE_ATP_BIND_1; 1."";""PS51194; HELICASE_CTER; 1."";"	"SM00487; DEXDc; 1.;""SM00490; HELICc; 1."";""SM01314; SnAC; 1."";"	NP_001276325.1; NM_001289396.1.;	10.0..526.0	517	715	2..167	95.18	30.56	72.31	['Helicase ATP-binding']	['ECO:0000259|PROSITE:PS51192']	523.0..1025.0	503	1042	515..711	95.94	37.57	48.27	['Helicase ATP-binding']	['ECO:0000259|PROSITE:PS51192']	1.457342657	503.0	0.703496503	0.45734265734265733	27.337903554582073	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A250B3B6_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/B4DSC8_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A250B3B6_B4DSC8_aligned.pse	3.089096	2163
WP_014957905.1	Zorya	Zorya_TypeI	Desulfobacula toluolica	GCF_000307105_NC_018645_Zorya_TypeI_4	GCF_000307105.1_NC_018645_02578	GCF_000307105.1_NC_018645_02581	1	202	K0N9J3	A0A101WRB2	A0A4W5N4R5	A0A2R8YDT5	5.941e-9	1	0.126	516	327	0.0	14	388	462	977	8.972e-9	177	unreviewed	A0A2R8YDT5_HUMAN	RNA helicase (EC 3.6.4.13)	DDX3X	Homo sapiens (Human)			DDX3X		UP000005640: Chromosome X		cytosol [GO:0005829]	cytosol [GO:0005829]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]	GO:0003676; GO:0003724; GO:0005524; GO:0005829; GO:0016787	"cd18051; DEADc_DDX3; 1.;""cd18787; SF2_C_DEAD; 1."";"	"3.40.50.300:FF:000160; ATP-dependent RNA helicase DDX3X; 1.;""3.40.50.300:FF:000008; ATP-dependent RNA helicase RhlB; 1."";"	3.40.50.300; P-loop containing nucleotide triphosphate hydrolases; 2.;	"IPR011545; DEAD/DEAH_box_helicase_dom.;""IPR014001; Helicase_ATP-bd."";""IPR001650; Helicase_C-like."";""IPR027417; P-loop_NTPase."";""IPR000629; RNA-helicase_DEAD-box_CS."";"	PTHR47958; ATP-DEPENDENT RNA HELICASE DBP3; 1.;	"PF00270; DEAD; 1.;""PF00271; Helicase_C; 1."";"	"PS00039; DEAD_ATP_HELICASE; 1.;""PS51192; HELICASE_ATP_BIND_1; 1."";""PS51194; HELICASE_CTER; 1."";"	"SM00487; DEXDc; 1.;""SM00490; HELICc; 1."";"	"NP_001350748.1; NM_001363819.1.;""XP_016884803.1; XM_017029314.1."";"	14.0..388.0	375	475	25..217	100.0	51.47	78.95	['Helicase ATP-binding']	['ECO:0000259|PROSITE:PS51192']	462.0..977.0	516	1149	477..677	100.0	38.95	44.91	['Helicase ATP-binding']	['ECO:0000259|PROSITE:PS51192']	2.418947368	375.0	0.789473684	1.4189473684210525	8.047110735089069	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/K0N9J3_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A2R8YDT5_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/K0N9J3_A0A2R8YDT5_aligned.pse	4.041851	1640
WP_141991876.1	Zorya	Zorya_TypeI	Acinetobacter baumannii	GCF_014874575_NZ_CP059300_Zorya_TypeI_1	GCF_014874575.1_NZ_CP059300_01940	GCF_014874575.1_NZ_CP059300_01943	1	202	A0A6L8M512	A0A7S4UXI5	A0A1G3P2F3	Q8N6J1	4.333e-9	1	0.249	553	385	0.0	76	628	553	1066	5.646e-32	943	unreviewed	Q8N6J1_HUMAN	BTAF1 protein	BTAF1	Homo sapiens (Human)			BTAF1				nucleus [GO:0005634]	nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; TBP-class protein binding [GO:0017025]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; TBP-class protein binding [GO:0017025]	GO:0003677; GO:0005524; GO:0005634; GO:0016887; GO:0017025	"cd17999; DEXHc_Mot1; 1.;""cd18793; SF2_C_SNF; 1."";"	"3.40.50.10810:FF:000009; B-TFIID TATA-box-binding protein-associated factor 1; 1.;""3.40.50.300:FF:000428; TATA-binding protein-associated factor 172; 1."";"	"3.40.50.300; P-loop containing nucleotide triphosphate hydrolases; 1.;""3.40.50.10810; Tandem AAA-ATPase domain; 1."";"	"IPR014001; Helicase_ATP-bd.;""IPR001650; Helicase_C-like."";""IPR044972; Mot1."";""IPR044078; Mot1_ATP-bd."";""IPR027417; P-loop_NTPase."";""IPR038718; SNF2-like_sf."";""IPR049730; SNF2/RAD54-like_C."";""IPR000330; SNF2_N."";"	"PTHR36498; TATA-BINDING PROTEIN-ASSOCIATED FACTOR 172; 1.;""PTHR36498:SF1; TATA-BINDING PROTEIN-ASSOCIATED FACTOR 172; 1."";"	"PF00271; Helicase_C; 1.;""PF00176; SNF2-rel_dom; 1."";"	"PS51192; HELICASE_ATP_BIND_1; 1.;""PS51194; HELICASE_CTER; 1."";"	"SM00487; DEXDc; 1.;""SM00490; HELICc; 1."";"	NP_003963.1; NM_003972.2.;	76.0..628.0	553	680	467..621	100.0	28.03	81.32	['Helicase C-terminal']	['ECO:0000259|PROSITE:PS51194']	553.0..1066.0	514	1067	896..1064	100.0	32.88	48.17	['Helicase C-terminal']	['ECO:0000259|PROSITE:PS51194']	1.569117647	514.0	0.755882353	0.5691176470588235	31.248259126189094	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A6L8M512_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/Q8N6J1_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A6L8M512_Q8N6J1_aligned.pse	3.407415	2114
