accession_in_sys	type	subtype	species	sys_id	sys_beg	sys_end	duplicate_count	rank	defense_system_protein_id	defense_system_cluster_id	cluster_id	protein_id	evalue	cluFlag	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue_foldseek	bits	Reviewed	Entry Name	Protein names	Gene Names	Organism	Gene Names (ordered locus)	Gene Names (ORF)	Gene Names (primary)	Gene Names (synonym)	Proteomes	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	CDD	FunFam	Gene3D	InterPro	PANTHER	Pfam	PROSITE	SMART	RefSeq	Query_range	Query_length	Human_prot_total_length	Human_prot_domain_match	Human_domain_percentage	Query_percentage	Query_overlap_w_Human_protein	Human_domain_note	Human_domain_evidence	Target_range	Target_length	Bacterial_prot_total_length	Bacterial_prot_domain_match	Bacterial_domain_percentage	Target_percentage	Target_overlap_w_Bacterial_protein	Bacterial_domain_note	Bacterial_domain_evidence	Bacterial_Human_Len_Ratio	Query_Target_Overlap_Length	Overlap_ratio	Protein_length_difference	neg_log(evalue_foldseek)	defense_system_protein_AF_file	protein_AF_file	PyMOL_aligned_filePath	PyMOL_RMSD	PyMOL_aligned_atoms
WP_038641925.1	Zorya	Zorya_TypeI	Pseudoalteromonas piratica	GCF_000788395_NZ_CP009888_Zorya_TypeI_1	GCF_000788395.1_NZ_CP009888_02355	GCF_000788395.1_NZ_CP009888_02358	1	202	A0A0A7EGC4	A0A101WRB2	A0A422PF95	P60842	2.707e-7	1	0.11	570	346	0.0	1	390	405	974	4.109e-9	205	reviewed	IF4A1_HUMAN	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	EIF4A1 DDX2A EIF4A	Homo sapiens (Human)			EIF4A1	DDX2A EIF4A	UP000005640: Chromosome 17	cytoplasmic translational initiation [GO:0002183]; positive regulation of transcription by RNA polymerase II [GO:0045944]; translational initiation [GO:0006413]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; eukaryotic translation initiation factor 4F complex [GO:0016281]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear stress granule [GO:0097165]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; eukaryotic translation initiation factor 4F complex [GO:0016281]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear stress granule [GO:0097165]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; double-stranded RNA binding [GO:0003725]; helicase activity [GO:0004386]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; RNA cap binding [GO:0000339]; RNA helicase activity [GO:0003724]; translation factor activity, RNA binding [GO:0008135]; translation initiation factor activity [GO:0003743]; cytoplasmic translational initiation [GO:0002183]; positive regulation of transcription by RNA polymerase II [GO:0045944]; translational initiation [GO:0006413]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; double-stranded RNA binding [GO:0003725]; helicase activity [GO:0004386]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; RNA cap binding [GO:0000339]; RNA helicase activity [GO:0003724]; translation factor activity, RNA binding [GO:0008135]; translation initiation factor activity [GO:0003743]	GO:0000339; GO:0002183; GO:0003723; GO:0003724; GO:0003725; GO:0003729; GO:0003743; GO:0004386; GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0006413; GO:0008135; GO:0010494; GO:0016020; GO:0016281; GO:0016887; GO:0045944; GO:0048471; GO:0070062; GO:0097165	"cd18046; DEADc_EIF4AII_EIF4AI_DDX2; 1.;""cd18787; SF2_C_DEAD; 1."";"	"3.40.50.300:FF:000089; Eukaryotic initiation factor 4A-II; 1.;""3.40.50.300:FF:000031; Eukaryotic initiation factor 4A-III; 1."";"	3.40.50.300; P-loop containing nucleotide triphosphate hydrolases; 2.;	"IPR011545; DEAD/DEAH_box_helicase_dom.;""IPR044728; EIF4A_DEADc."";""IPR014001; Helicase_ATP-bd."";""IPR001650; Helicase_C-like."";""IPR027417; P-loop_NTPase."";""IPR000629; RNA-helicase_DEAD-box_CS."";""IPR014014; RNA_helicase_DEAD_Q_motif."";"	PTHR47958; ATP-DEPENDENT RNA HELICASE DBP3; 1.;	"PF00270; DEAD; 1.;""PF00271; Helicase_C; 1."";"	"PS00039; DEAD_ATP_HELICASE; 1.;""PS51192; HELICASE_ATP_BIND_1; 1."";""PS51194; HELICASE_CTER; 1."";""PS51195; Q_MOTIF; 1."";"	"SM00487; DEXDc; 1.;""SM00490; HELICc; 1."";"	"NP_001191439.1; NM_001204510.2. [P60842-2];""NP_001407.1; NM_001416.4. [P60842-1]"";"	1.0..390.0	390	406	63..234	100.0	44.1	96.06	['Helicase ATP-binding']	['ECO:0000255|PROSITE-ProRule:PRU00541']	405.0..974.0	570	1152	482..680	100.0	34.91	49.48	['Helicase ATP-binding']	['ECO:0000259|PROSITE:PS51192']	2.837438424	390.0	0.960591133	1.8374384236453203	8.386263858738127	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A0A7EGC4_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/P60842_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A0A7EGC4_P60842_aligned.pse	4.022395	1506
WP_007013431.1	Zorya	Zorya_TypeI	Novosphingobium pentaromativorans	GCF_000767465_NZ_CP009291_Zorya_TypeI_2	GCF_000767465.1_NZ_CP009291_01470	GCF_000767465.1_NZ_CP009291_01473	1	202	G6EDU7	A0A511N283	A0A6J1NQ60	B4DQY2	0.1474	1	0.171	370	301	0.0	152	515	258	627	5.635	1	unreviewed	B4DQY2_HUMAN	MICOS complex subunit MIC60 (Mitofilin)		Homo sapiens (Human)							mitochondrial inner membrane [GO:0005743]	mitochondrial inner membrane [GO:0005743]		GO:0005743				IPR019133; MIC60.;	"PTHR15415:SF7; MICOS COMPLEX SUBUNIT MIC60; 1.;""PTHR15415; MITOFILIN; 1."";"	PF09731; Mitofilin; 1.;	PS51257; PROKAR_LIPOPROTEIN; 1.;			152.0..515.0	364	711							258.0..627.0	370	641							0.901547117	364.0	0.567862715	0.09845288326300983	-0.7508939203821252	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/G6EDU7_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/B4DQY2_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/G6EDU7_B4DQY2_aligned.pse	92.856865	2531
WP_063192462.1	Zorya	Zorya_TypeI	Geobacillus sp. JS12	GCF_001592395_NZ_CP014749_Zorya_TypeI_2	GCF_001592395.1_NZ_CP014749_00898	GCF_001592395.1_NZ_CP014749_00901	1	202	A0A142CZW3	A0A355UP19	A0A084VX50	F6S4E6	0.00001837	3	0.138	179	133	0.0	52	230	417	571	6.735e-6	110	unreviewed	F6S4E6_HUMAN	RNA helicase (EC 3.6.4.13)	DDX39B	Homo sapiens (Human)			DDX39B		UP000005640: Chromosome 6		nuclear speck [GO:0016607]	nuclear speck [GO:0016607]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]	GO:0003676; GO:0003724; GO:0005524; GO:0016607; GO:0016787	cd17950; DEADc_DDX39; 1.;	3.40.50.300:FF:000168; DEAD-box ATP-dependent RNA helicase 56-like; 1.;	3.40.50.300; P-loop containing nucleotide triphosphate hydrolases; 1.;	"IPR011545; DEAD/DEAH_box_helicase_dom.;""IPR050079; DEAD_box_RNA_helicase."";""IPR014001; Helicase_ATP-bd."";""IPR027417; P-loop_NTPase."";""IPR014014; RNA_helicase_DEAD_Q_motif."";"	"PTHR47959:SF1; ATP-DEPENDENT RNA HELICASE DBPA; 1.;""PTHR47959; ATP-DEPENDENT RNA HELICASE RHLE-RELATED; 1."";"	PF00270; DEAD; 1.;	"PS51192; HELICASE_ATP_BIND_1; 1.;""PS51195; Q_MOTIF; 1."";"	SM00487; DEXDc; 1.;		52.0..230.0	179	231	76..231	99.36	86.59	77.49	['Helicase ATP-binding']	['ECO:0000259|PROSITE:PS51192']	417.0..571.0	155	874	429..590	88.27	92.26	17.73	['Helicase ATP-binding']	['ECO:0000259|PROSITE:PS51192']	3.783549784	155.0	0.670995671	2.7835497835497836	5.1716623999409945	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A142CZW3_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/F6S4E6_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A142CZW3_F6S4E6_aligned.pse	3.171943	736
WP_015326783.1	Zorya	Zorya_TypeI	Halobacteroides halobius	GCF_000328625_NC_019978_Zorya_TypeI_2	GCF_000328625.1_NC_019978_01096	GCF_000328625.1_NC_019978_01099	1	202	L0KAC5	A0A101WRB2	A0A4W5N4R5	B4DN41	5.941e-9	1	0.139	430	283	0.0	106	435	519	948	1.03e-10	233	unreviewed	B4DN41_HUMAN	Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box protein 5)		Homo sapiens (Human)						mRNA processing [GO:0006397]; rhythmic process [GO:0048511]; RNA splicing [GO:0008380]	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; spliceosomal complex [GO:0005681]	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; spliceosomal complex [GO:0005681]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]; mRNA processing [GO:0006397]; rhythmic process [GO:0048511]; RNA splicing [GO:0008380]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]	GO:0003676; GO:0003724; GO:0005524; GO:0005681; GO:0005730; GO:0005737; GO:0006397; GO:0008380; GO:0016787; GO:0048511	"cd18049; DEADc_DDX5; 1.;""cd18787; SF2_C_DEAD; 1."";"	"3.40.50.300:FF:000008; ATP-dependent RNA helicase RhlB; 1.;""3.40.50.300:FF:000079; probable ATP-dependent RNA helicase DDX17; 1."";"	3.40.50.300; P-loop containing nucleotide triphosphate hydrolases; 2.;	"IPR011545; DEAD/DEAH_box_helicase_dom.;""IPR014001; Helicase_ATP-bd."";""IPR001650; Helicase_C-like."";""IPR027417; P-loop_NTPase."";""IPR012587; P68_rpt."";""IPR000629; RNA-helicase_DEAD-box_CS."";""IPR014014; RNA_helicase_DEAD_Q_motif."";"	PTHR47958; ATP-DEPENDENT RNA HELICASE DBP3; 1.;	"PF00270; DEAD; 1.;""PF00271; Helicase_C; 1."";""PF08061; P68HR; 2."";"	"PS00039; DEAD_ATP_HELICASE; 1.;""PS51192; HELICASE_ATP_BIND_1; 1."";""PS51194; HELICASE_CTER; 1."";""PS51195; Q_MOTIF; 1."";"	"SM00487; DEXDc; 1.;""SM00490; HELICc; 1."";""SM01414; P68HR; 2."";"		106.0..435.0	330	603	83..111	20.69	1.82	54.73	['DEAD-box RNA helicase Q']	['ECO:0000259|PROSITE:PS51195']	519.0..948.0	430	1172	533..701	100.0	39.3	36.69	['Helicase ATP-binding']	['ECO:0000259|PROSITE:PS51192']	1.943615257	330.0	0.547263682	0.9436152570480929	9.987162775294827	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/L0KAC5_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/B4DN41_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/L0KAC5_B4DN41_aligned.pse	3.516241	1607
WP_068836923.1	Zorya	Zorya_TypeI	Pontibacter akesuensis	GCF_001611675_NZ_CP014766_Zorya_TypeI_1	GCF_001611675.1_NZ_CP014766_00740	GCF_001611675.1_NZ_CP014766_00743	1	202	A0A1I7JXK9	A0A101WRB2	H0EHT0	A0A0D9SF92	0.0005163	3	0.32	102	61	0.0	14	104	792	893	8.715e-6	155	unreviewed	A0A0D9SF92_HUMAN	Chromodomain helicase DNA binding protein 2	CHD2	Homo sapiens (Human)			CHD2		UP000005640: Chromosome 15	chromatin remodeling [GO:0006338]		ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; chromatin remodeling [GO:0006338]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]	GO:0005524; GO:0006338; GO:0016787	cd18793; SF2_C_SNF; 1.;		3.40.50.300; P-loop containing nucleotide triphosphate hydrolases; 1.;	"IPR001650; Helicase_C-like.;""IPR027417; P-loop_NTPase."";""IPR049730; SNF2/RAD54-like_C."";"	"PTHR45623:SF19; CHROMODOMAIN-HELICASE-DNA-BINDING PROTEIN 2; 1.;""PTHR45623; CHROMODOMAIN-HELICASE-DNA-BINDING PROTEIN 3-RELATED-RELATED; 1."";"	PF00271; Helicase_C; 1.;	PS51194; HELICASE_CTER; 1.;	SM00490; HELICc; 1.;		14.0..104.0	91	113	1..113	80.53	100.0	80.53	['Helicase C-terminal']	['ECO:0000259|PROSITE:PS51194']	792.0..893.0	102	1088	752..920	60.36	100.0	9.38	['Helicase C-terminal']	['ECO:0000259|PROSITE:PS51194']	9.628318584	91.0	0.805309735	8.628318584070797	5.059732608553988	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A1I7JXK9_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A0D9SF92_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A1I7JXK9_A0A0D9SF92_aligned.pse	1.174982	444
WP_100024372.1	Zorya	Zorya_TypeII	Fusobacterium pseudoperiodonticum	GCF_002763625_NZ_CP024699_Zorya_TypeII_2	GCF_002763625.1_NZ_CP024699_00499	GCF_002763625.1_NZ_CP024699_00501	1	202	A0A2D3NTI1	A0A1T4LJB9	W7QDG2	A0A023I890	0.5051	1	0.115	453	366	0.0	150	602	22	435	0.2753	17	unreviewed	A0A023I890_HUMAN	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	ND5	Homo sapiens (Human)			ND5			ATP synthesis coupled electron transport [GO:0042773]	mitochondrial inner membrane [GO:0005743]	mitochondrial inner membrane [GO:0005743]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]	GO:0005743; GO:0008137; GO:0042773				"IPR010934; NADH_DH_su5_C.;""IPR018393; NADHpl_OxRdtase_5_subgr."";""IPR001750; ND/Mrp_TM."";""IPR003945; NU5C-like."";""IPR001516; Proton_antipo_N."";"	"PTHR42829; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1.;""PTHR42829:SF2; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1."";"	"PF06455; NADH5_C; 1.;""PF00361; Proton_antipo_M; 1."";""PF00662; Proton_antipo_N; 1."";"				150.0..602.0	453	603	422..602	100.0	39.96	75.12	['NADH dehydrogenase subunit 5 C-terminal']	['ECO:0000259|Pfam:PF06455']	22.0..435.0	414	701							1.16252073	414.0	0.686567164	0.16252072968490872	0.5601937886066698	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A2D3NTI1_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A023I890_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A2D3NTI1_A0A023I890_aligned.pse	65.514076	2970
WP_197743802.1	Zorya	Zorya_TypeII	Candidatus Nitrosacidococcus tergens	GCF_902810445_NZ_LR778175_Zorya_TypeII_1	GCF_902810445.1_NZ_LR778175_01043	GCF_902810445.1_NZ_LR778175_01045	1	202	A0A7G1QA30	A0A1T4LJB9	W7QDG2	F1B6V0	0.5051	1	0.135	257	216	0.0	331	587	11	261	0.3256	17	unreviewed	F1B6V0_HUMAN	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	ND5	Homo sapiens (Human)			ND5			ATP synthesis coupled electron transport [GO:0042773]	mitochondrial inner membrane [GO:0005743]	mitochondrial inner membrane [GO:0005743]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]	GO:0005743; GO:0008137; GO:0042773				"IPR010934; NADH_DH_su5_C.;""IPR018393; NADHpl_OxRdtase_5_subgr."";""IPR001750; ND/Mrp_TM."";""IPR003945; NU5C-like."";""IPR001516; Proton_antipo_N."";"	"PTHR42829; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1.;""PTHR42829:SF2; NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 5; 1."";"	"PF06455; NADH5_C; 1.;""PF00361; Proton_antipo_M; 1."";""PF00662; Proton_antipo_N; 1."";"				331.0..587.0	257	603	422..602	91.71	64.59	42.62	['NADH dehydrogenase subunit 5 C-terminal']	['ECO:0000259|Pfam:PF06455']	11.0..261.0	251	702							1.164179104	251.0	0.416252073	0.16417910447761197	0.4873156037828363	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A7G1QA30_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/F1B6V0_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A7G1QA30_F1B6V0_aligned.pse	60.087959	2501
WP_014957905.1	Zorya	Zorya_TypeI	Desulfobacula toluolica	GCF_000307105_NC_018645_Zorya_TypeI_4	GCF_000307105.1_NC_018645_02578	GCF_000307105.1_NC_018645_02581	1	202	K0N9J3	A0A101WRB2	A0A1G3P2F3	Q8N6J1	1.555e-20	1	0.209	540	424	0.0	74	613	446	982	2.29e-30	900	unreviewed	Q8N6J1_HUMAN	BTAF1 protein	BTAF1	Homo sapiens (Human)			BTAF1				nucleus [GO:0005634]	nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; TBP-class protein binding [GO:0017025]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; TBP-class protein binding [GO:0017025]	GO:0003677; GO:0005524; GO:0005634; GO:0016887; GO:0017025	"cd17999; DEXHc_Mot1; 1.;""cd18793; SF2_C_SNF; 1."";"	"3.40.50.10810:FF:000009; B-TFIID TATA-box-binding protein-associated factor 1; 1.;""3.40.50.300:FF:000428; TATA-binding protein-associated factor 172; 1."";"	"3.40.50.300; P-loop containing nucleotide triphosphate hydrolases; 1.;""3.40.50.10810; Tandem AAA-ATPase domain; 1."";"	"IPR014001; Helicase_ATP-bd.;""IPR001650; Helicase_C-like."";""IPR044972; Mot1."";""IPR044078; Mot1_ATP-bd."";""IPR027417; P-loop_NTPase."";""IPR038718; SNF2-like_sf."";""IPR049730; SNF2/RAD54-like_C."";""IPR000330; SNF2_N."";"	"PTHR36498; TATA-BINDING PROTEIN-ASSOCIATED FACTOR 172; 1.;""PTHR36498:SF1; TATA-BINDING PROTEIN-ASSOCIATED FACTOR 172; 1."";"	"PF00271; Helicase_C; 1.;""PF00176; SNF2-rel_dom; 1."";"	"PS51192; HELICASE_ATP_BIND_1; 1.;""PS51194; HELICASE_CTER; 1."";"	"SM00487; DEXDc; 1.;""SM00490; HELICc; 1."";"	NP_003963.1; NM_003972.2.;	74.0..613.0	540	680	109..284	100.0	32.59	79.41	['Helicase ATP-binding']	['ECO:0000259|PROSITE:PS51192']	446.0..982.0	537	1149	477..677	100.0	37.43	46.74	['Helicase ATP-binding']	['ECO:0000259|PROSITE:PS51192']	1.689705882	537.0	0.789705882	0.6897058823529412	29.640164517660107	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/K0N9J3_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/Q8N6J1_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/K0N9J3_Q8N6J1_aligned.pse	2.356415	2295
WP_025297649.1	Zorya	Zorya_TypeI	Pseudomonas aeruginosa	GCF_000981825_NZ_CP011317_Zorya_TypeI_4,GCF_009662315_NZ_CP045739_Zorya_TypeI_4,GCF_023093935_NZ_CP095770_Zorya_TypeI_4,GCF_022637915_NZ_CP093354_Zorya_TypeI_6,GCF_003950255_NZ_CP034369_Zorya_TypeI_9,GCF_002085605_NZ_CP016955_Zorya_TypeI_3,GCF_016925475_NZ_CP070471_Zorya_TypeI_9	GCF_009662315.1_NZ_CP045739_06431,GCF_003950255.1_NZ_CP034369_05279,GCF_002085605.1_NZ_CP016955_00338,GCF_000981825.1_NZ_CP011317_06843,GCF_022637915.1_NZ_CP093354_06058,GCF_023093935.1_NZ_CP095770_06741,GCF_016925475.1_NZ_CP070471_00473	GCF_023093935.1_NZ_CP095770_06744,GCF_022637915.1_NZ_CP093354_06061,GCF_000981825.1_NZ_CP011317_06846,GCF_003950255.1_NZ_CP034369_05282,GCF_016925475.1_NZ_CP070471_00476,GCF_002085605.1_NZ_CP016955_00341,GCF_009662315.1_NZ_CP045739_06434	7	196	A0A2U2XIN6	A0A355UP19	A0A2X0MI13	B7ZBU3	1.734e-6	1	0.187	146	102	0.0	66	191	822	967	0.0001498	92	unreviewed	B7ZBU3_HUMAN	DEAD-box helicase 59	DDX59	Homo sapiens (Human)			DDX59		UP000005640: Chromosome 1			helicase activity [GO:0004386]; nucleotide binding [GO:0000166]	helicase activity [GO:0004386]; nucleotide binding [GO:0000166]	GO:0000166; GO:0004386	cd18787; SF2_C_DEAD; 1.;		3.40.50.300; P-loop containing nucleotide triphosphate hydrolases; 2.;	"IPR014001; Helicase_ATP-bd.;""IPR001650; Helicase_C-like."";""IPR027417; P-loop_NTPase."";"	PTHR47958; ATP-DEPENDENT RNA HELICASE DBP3; 1.;	PF00271; Helicase_C; 1.;	"PS51192; HELICASE_ATP_BIND_1; 1.;""PS51194; HELICASE_CTER; 1."";"	SM00490; HELICc; 1.;		66.0..191.0	126	224	59..222	76.83	100.0	56.25	['Helicase C-terminal']	['ECO:0000259|PROSITE:PS51194']	822.0..967.0	146	1028	841..1006	76.51	86.99	14.2	['Helicase C-terminal']	['ECO:0000259|PROSITE:PS51194']	4.589285714	126.0	0.5625	3.5892857142857144	3.824488186636552	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A2U2XIN6_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/B7ZBU3_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A2U2XIN6_B7ZBU3_aligned.pse	3.031711	681
WP_190262487.1	Zorya	Zorya_TypeI	Defluviicoccus vanus	GCF_014672695_NZ_CP053923_Zorya_TypeI_1	GCF_014672695.1_NZ_CP053923_01176	GCF_014672695.1_NZ_CP053923_01179	1	202	A0A7H1MZU1	A0A511N283	A0A1D1ZY01	Q765P7	0.03071	1	0.138	300	241	0.0	2	282	321	620	2.235	6	reviewed	MTSS2_HUMAN	Protein MTSS 2 (Actin-bundling with BAIAP2 homology protein 1) (ABBA-1) (MTSS1-like protein)	MTSS2 MTSS1L	Homo sapiens (Human)			MTSS2	MTSS1L	UP000005640: Chromosome 16	activation of GTPase activity [GO:0090630]; cell projection assembly [GO:0030031]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; lamellipodium organization [GO:0097581]; membrane organization [GO:0061024]; plasma membrane organization [GO:0007009]	actin cytoskeleton [GO:0015629]; cortical actin cytoskeleton [GO:0030864]; cytoplasmic side of plasma membrane [GO:0009898]; lamellipodium [GO:0030027]; ruffle membrane [GO:0032587]	actin cytoskeleton [GO:0015629]; cortical actin cytoskeleton [GO:0030864]; cytoplasmic side of plasma membrane [GO:0009898]; lamellipodium [GO:0030027]; ruffle membrane [GO:0032587]; actin binding [GO:0003779]; actin monomer binding [GO:0003785]; GTPase activator activity [GO:0005096]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phospholipid binding [GO:0005543]; small GTPase binding [GO:0031267]; activation of GTPase activity [GO:0090630]; cell projection assembly [GO:0030031]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; lamellipodium organization [GO:0097581]; membrane organization [GO:0061024]; plasma membrane organization [GO:0007009]	actin binding [GO:0003779]; actin monomer binding [GO:0003785]; GTPase activator activity [GO:0005096]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phospholipid binding [GO:0005543]; small GTPase binding [GO:0031267]	GO:0003779; GO:0003785; GO:0005096; GO:0005543; GO:0005546; GO:0007009; GO:0009898; GO:0015629; GO:0030027; GO:0030031; GO:0030864; GO:0031267; GO:0032587; GO:0036120; GO:0061024; GO:0090630; GO:0097581	"cd07643; I-BAR_IMD_MIM; 1.;""cd22060; WH2_MTSS1; 1."";"	1.20.1270.60:FF:000010; Metastasis suppressor 1, isoform CRA_e; 1.;	1.20.1270.60; Arfaptin homology (AH) domain/BAR domain; 1.;	"IPR027267; AH/BAR_dom_sf.;""IPR013606; I-BAR_dom."";""IPR030127; MTSS1/MTSS2."";""IPR003124; WH2_dom."";"	"PTHR15708; ACTIN BUNDLING/MISSING IN METASTASIS-RELATED; 1.;""PTHR15708:SF8; PROTEIN MTSS 2; 1."";"	"PF08397; IMD; 1.;""PF02205; WH2; 1."";"	PS51338; IMD; 1.;		NP_612392.1; NM_138383.3. [Q765P7-1];	2.0..282.0	281	747	1..252	99.6	89.32	37.62	['IMD']	['ECO:0000255|PROSITE-ProRule:PRU00668']	321.0..620.0	300	622							0.832663989	281.0	0.451768489	0.16733601070950466	-0.3492775274679552	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/A0A7H1MZU1_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/alphafold_structures/Q765P7_AF.pdb	/home/juliandeanmoran/___git_repos/BISSH/data_local/pymol_alignments/super/A0A7H1MZU1_Q765P7_aligned.pse	79.77536	1386
