entryID	repID	eValue
A0A7C3R2W4	A0A009EPC4	1872629
A0A009EQS7	A0A009EQS7	1310605
A0A1J5QIS5	A0A009EQS7	410659
A0A1W9UL66	A0A009EQS7	1971628
A0A2E8VPG7	A0A009EQS7	1913989
A0A2V9AX22	A0A009EQS7	1978231
A0A455UWC5	A0A009EQS7	115555
A0A009ETZ7	A0A009ETZ7	1310605
A0A198UJ05	A0A009ETZ7	480
A0A009EX88	A0A009EX88	1310605
H3ZEF2	A0A009EX88	1129374
A0A009EY59	A0A009EY59	1310605
A0A0A3W3I6	A0A009EY59	1509403
A0A2R8F057	A0A009EY59	784
A0A3G2T0H6	A0A009EY59	1879050
A0A4J2T2X9	A0A009EY59	1313
A0A009EYQ5	A0A009EYQ5	1310605
A0A1T0CHP1	A0A009EYQ5	90241
A0A220S0G0	A0A009EYQ5	1853278
A0A2P7TYJ5	A0A009EYQ5	90242
A0A377R277	A0A009EYQ5	265175
A0A378X829	A0A009EYQ5	326523
A0A496NBR5	A0A009EYQ5	479
A0A4T9UDA3	A0A009EYQ5	485
A0A547ET74	A0A009EYQ5	75985
A0A7H1MEK6	A0A009EYQ5	1815583
A0A7X2GXR0	A0A009EYQ5	2666100
A0A839TCL9	A0A009EYQ5	198481
C6M3X3	A0A009EYQ5	547045
Q2KZL1	A0A009EYQ5	360910
A0A009EYT8	A0A009EYT8	1310605
A0A0E2GBZ2	A0A009EYT8	1217985
A0A0F9Q4V4	A0A009EYT8	412755
A0A165AE54	A0A009EYT8	1423
A0A1F3NHF3	A0A009EYT8	1797355
A0A1I5YY87	A0A009EYT8	1227077
A0A1V5X5K5	A0A009EYT8	1852939
A0A238J2A2	A0A009EYT8	1470561
A0A241WKY8	A0A009EYT8	1977872
A0A2S5R2W4	A0A009EYT8	2051956
A0A2W0CE61	A0A009EYT8	59845
A0A3N1LFX6	A0A009EYT8	2485140
A0A3R9N7K3	A0A009EYT8	334424
A0A3R9QGK5	A0A009EYT8	1785128
A0A428JCJ7	A0A009EYT8	2493666
A0A4Q2UMY7	A0A009EYT8	2502893
A0A4Q5TMF4	A0A009EYT8	1869212
A0A4Q5TNQ1	A0A009EYT8	1869212
A0A524M4T1	A0A009EYT8	2053491
A0A6H2VKU8	A0A009EYT8	48296
A0A6P1DS23	A0A009EYT8	2018083
A0A7D7YSD4	A0A009EYT8	40216
A0A7L9DV08	A0A009EYT8	470
A0A7U3UT91	A0A009EYT8	659352
A0A7Y7U776	A0A009EYT8	2608003
A0A846SFV9	A0A009EYT8	1284
N9QS68	A0A009EYT8	1217716
U9ZV39	A0A009EYT8	1268986
A0A009F2M5	A0A009F2M5	1310605
A0A0A8TQ59	A0A009F2M5	106648
A0A6G0VB43	A0A009F2M5	470
A0A7T4TS21	A0A009F2M5	106648
A0A858S6T7	A0A009F2M5	470
K9BAN1	A0A009F2M5	903918
N8QBM8	A0A009F2M5	1217715
N9DA23	A0A009F2M5	1257043
N9PIX5	A0A009F2M5	280145
R8YW88	A0A009F2M5	1785128
A0A009F3E9	A0A009F3E9	1310605
A0A0E2GC29	A0A009F3E9	1217985
A0A009F604	A0A009F604	1310605
A0A498QQK5	A0A009F604	2341080
A0A5R8YUH0	A0A009F604	2576905
A0A009F7D2	A0A009F7D2	1310605
A0A0B7GUC4	A0A009F7D2	162
A0A1M6NXI1	A0A009F7D2	1120989
A0A418GN96	A0A009F7D2	562
A0A455XCN2	A0A009F7D2	2559597
A0A5P9BF90	A0A009F7D2	2587865
A0A7W6DIR1	A0A009F7D2	1636188
A0A844T1Q5	A0A009F7D2	280333
N8SDE0	A0A009F7D2	1217669
A0A009F9I8	A0A009F9I8	1310618
A0A009HRH4	A0A009F9I8	1310613
A0A009F9L2	A0A009F9L2	1310605
W7Z0Z7	A0A009F9L2	1460639
A0A009FET2	A0A009FET2	1310605
A0A009RNS0	A0A009FET2	1310630
A0A009FLK9	A0A009FLK9	1310618
A0A836LNX7	A0A009FLK9	1310669
A0A836LQT2	A0A009FLK9	1310669
A0A836YKL1	A0A009FLK9	1310669
A0A009FS25	A0A009FS25	1310605
A0A1J4NIA7	A0A009FS25	1914307
A0A009FS40	A0A009FS40	1310605
A0A370S5U6	A0A009FS40	47917
A0A009FS53	A0A009FS53	1310605
L0WAM9	A0A009FS53	1177179
A0A009FS99	A0A009FS99	1310605
A0A1C3IFS1	A0A009FS99	693153
G2JAC1	A0A009FS99	1070319
A0A009FVT3	A0A009FVT3	1310618
A0A1S3QG43	A0A009FVT3	8030
A0A401RUH6	A0A009FVT3	137246
A0A4W3IFX8	A0A009FVT3	7868
A0A5D3CVH2	A0A009FVT3	1194695
A0A009FZU4	A0A009FZU4	1310618
A0A1F8LNI0	A0A009FZU4	1797616
A0A1W6LNU8	A0A009FZU4	1941349
A0A243S5E8	A0A009FZU4	487165
A0A009FZZ5	A0A009FZZ5	1310618
A0A013TPK0	A0A009FZZ5	1310764
A0A009G2I6	A0A009G2I6	1310618
A0A009PBS4	A0A009G2I6	1310607
A0A836LX28	A0A009G2I6	1310673
A0A009G5I8	A0A009G5I8	1310618
A0A0A2EWD9	A0A009G5I8	1517682
A0A0J5KP60	A0A009G5I8	61647
A0A1C3NK10	A0A009G5I8	56449
A0A2N3PGU7	A0A009G5I8	2054916
A0A2N9WTZ9	A0A009G5I8	1196083
A0A3D9C2M2	A0A009G5I8	2258962
A0A3N8AM24	A0A009G5I8	2184573
A0A6C8G637	A0A009G5I8	596155
A0A6H3TNZ9	A0A009G5I8	470
A0A7C5J2J6	A0A009G5I8	2268199
A0A7L6AWS1	A0A009G5I8	2799669
A0A7S7AXP7	A0A009G5I8	409322
A0A829KDP4	A0A009G5I8	1358412
A0A844X9G2	A0A009G5I8	2687308
A0A8B1Z870	A0A009G5I8	712435
L1P4X4	A0A009G5I8	1127692
A0A009G619	A0A009G619	1310618
A0A241VBA3	A0A009G619	1977880
N9L0C1	A0A009G619	1144671
A0A009GC82	A0A009GC82	1310618
A0A4R1MC41	A0A009GC82	2183915
A0A009GEN2	A0A009GEN2	1310618
A0A0U5JXX6	A0A009GEN2	1598
A0A455U6C9	A0A009GEN2	115553
A0A6L6YI69	A0A009GEN2	2565572
A0A009GES5	A0A009GES5	1310618
A0A7S8WFT3	A0A009GES5	470
A0A009GQB2	A0A009GQB2	1310618
A0A0B3AHP4	A0A009GQB2	1579367
A0A1Z4VFB2	A0A009GQB2	1973482
A0A4R8L745	A0A009GQB2	480658
A0A009GVE6	A0A009GVE6	1310618
A0A235EIR7	A0A009GVE6	2004485
A0A2S9IL02	A0A009GVE6	2670329
A0A2X1QFI4	A0A009GVE6	573
A0A009EYT2	A0A009H382	1310605
A0A009H382	A0A009H382	1310618
A0A009H4A6	A0A009H4A6	1310608
A0A2G1TLL1	A0A009H4A6	470
A0A009H4D9	A0A009H4D9	1310618
N9EYU8	A0A009H4D9	981324
A0A009H4L2	A0A009H4L2	1310608
A0A7D5GWZ9	A0A009H4L2	562
A0A7G1L3F5	A0A009H4L2	644
A0A009HQ22	A0A009HQ22	1310613
A0A6B2BUZ8	A0A009HQ22	29430
A0A009HQ86	A0A009HQ86	1310613
A0A1Y0KXL1	A0A009HQ86	1981174
A0A241WLF7	A0A009HQ86	1977874
A0A2T3LJT5	A0A009HQ86	2022111
A0A3P1XEV6	A0A009HQ86	2491057
A0A426FGP2	A0A009HQ86	47735
A0A5C1VJ98	A0A009HQ86	487
A0A6A1R131	A0A009HQ86	225992
A0A009HR08	A0A009HR08	1310613
A0A009ZLX0	A0A009HR08	1310601
A0A009HSJ6	A0A009HSJ6	1310613
A0A0L6FSQ4	A0A009HSJ6	1478142
A0A0Q8XXA1	A0A009HSJ6	1736602
A0A0S7DRM5	A0A009HSJ6	293939
A0A166YWD9	A0A009HSJ6	1081107
A0A1B5CV35	A0A009HSJ6	1844105
A0A1B8P1J2	A0A009HSJ6	2746
A0A1C4X288	A0A009HSJ6	307119
A0A1V0I3H5	A0A009HSJ6	308754
A0A2N7TZK9	A0A009HSJ6	2033802
A0A2N9X7W1	A0A009HSJ6	1196083
A0A2T0VXH2	A0A009HSJ6	1435347
A0A2U3MZ99	A0A009HSJ6	2126983
A0A2V4KJ33	A0A009HSJ6	78327
A0A2X1UUK5	A0A009HSJ6	90245
A0A427U1G4	A0A009HSJ6	62763
A0A4P8TZE5	A0A009HSJ6	47917
A0A655PQY2	A0A009HSJ6	666
A0A6L6IMP3	A0A009HSJ6	2562891
A0A6L9Y538	A0A009HSJ6	2652177
A0A7K0E2R1	A0A009HSJ6	2664451
A0A815G2G2	A0A009HSJ6	249248
A0A816F035	A0A009HSJ6	433720
A0A839RJI9	A0A009HSJ6	616997
A0A848U574	A0A009HSJ6	1943584
A0A849K3V5	A0A009HSJ6	2733394
E9JCL5	A0A009HSJ6	13686
Q83XI8	A0A009HSJ6	55601
A0A009HV36	A0A009HV36	1310608
A0A6J4VKG0	A0A009HV36	543023
A0A7V8PUL7	A0A009HV36	554
A0A841JNW9	A0A009HV36	1577686
A0A009HW52	A0A009HW52	1310613
A0A6L5KKZ1	A0A009HW52	470
A0A009HYP7	A0A009HYP7	1310608
B4UYG6	A0A009HYP7	465541
M6C3S5	A0A009HYP7	1303729
A0A009I150	A0A009I150	1310613
A0A0F3R7J5	A0A009I150	1133329
A0A376E1S3	A0A009I150	1124835
A0A009I3R6	A0A009I3R6	1310613
A0A831K5H7	A0A009I3R6	2049433
A0A009I5S8	A0A009I5S8	1310613
A0A2V0RAJ6	A0A009I5S8	103796
A0A5B9GR73	A0A009I5S8	2500548
A0A5E4YQ18	A0A009I5S8	2508290
A0A6F9X0F2	A0A009I5S8	2495594
A0A828RAW7	A0A009I5S8	670892
A4WGK3	A0A009I5S8	399742
A4WGQ1	A0A009I5S8	399742
B1K402	A0A009I5S8	406425
S6AIT3	A0A009I5S8	1245471
U5SD74	A0A009I5S8	1266845
A0A009I7S2	A0A009I7S2	1310613
A0A5K6CMD6	A0A009I7S2	557600
A0A828SV32	A0A009I7S2	525242
A0A009IEZ0	A0A009IEZ0	1310613
A9W270	A0A009IEZ0	419610
A0A009IQL6	A0A009IQL6	1310613
A0A527H7A5	A0A009IQL6	1871066
A0A009IR62	A0A009IR62	1310613
A0A6N4RDL6	A0A009IR62	1079
A0A009IS10	A0A009IS10	1310613
A0A1G6HB65	A0A009IS10	281375
A0A1P8PJN9	A0A009IS10	108981
A0A429L7X1	A0A009IS10	108980
A0A4Q6XID2	A0A009IS10	1752076
A0A6A1RST8	A0A009IS10	106649
D0SIQ3	A0A009IS10	575587
A0A009IS15	A0A009IS15	1310613
A0A4V2NLR5	A0A009IS15	522319
A0A009J585	A0A009J585	1310619
A0A014EES4	A0A009J585	1310908
A0A009J8A1	A0A009J8A1	1310619
A0A099KZ22	A0A009J8A1	1535422
A0A0J8GSN7	A0A009J8A1	1513271
A0A0M1I5Q3	A0A009J8A1	1661746
A0A0M2R5V0	A0A009J8A1	1549748
A0A0N8W6U0	A0A009J8A1	1732214
A0A0P8YNS4	A0A009J8A1	1527299
A0A0R2E773	A0A009J8A1	1046596
A0A0U4W4M8	A0A009J8A1	1763998
A0A0V8A166	A0A009J8A1	371196
A0A136A0P4	A0A009J8A1	1799789
A0A151BY27	A0A009J8A1	1807500
A0A166ARU0	A0A009J8A1	989403
A0A173ZMB5	A0A009J8A1	1267
A0A177IQW9	A0A009J8A1	1705
A0A1A3KQF0	A0A009J8A1	1778
A0A1A8TKP1	A0A009J8A1	295068
A0A1E5E478	A0A009J8A1	1188252
A0A1E5Q705	A0A009J8A1	28181
A0A1H2BA52	A0A009J8A1	113562
A0A1H3N719	A0A009J8A1	576131
A0A1H6CQE9	A0A009J8A1	462991
A0A1H6EP08	A0A009J8A1	1144553
A0A1I1PCR9	A0A009J8A1	1123010
A0A1I2CJ68	A0A009J8A1	54
A0A1P8M8E5	A0A009J8A1	1357915
A0A1V0AJV0	A0A009J8A1	1909395
A0A1V4A1K3	A0A009J8A1	83656
A0A1V5VSA4	A0A009J8A1	1852906
A0A1V5YXK3	A0A009J8A1	1852848
A0A1Y0ES50	A0A009J8A1	1082851
A0A1Y5D0T6	A0A009J8A1	1856279
A0A1Y5EKQ9	A0A009J8A1	1856281
A0A1Z8QGN9	A0A009J8A1	1986668
A0A1Z8YQ66	A0A009J8A1	1986768
A0A261GFJ1	A0A009J8A1	1926491
A0A2A4MKN3	A0A009J8A1	1913989
A0A2A4W3A8	A0A009J8A1	2030814
A0A2A5C859	A0A009J8A1	1889775
A0A2D9TUW4	A0A009J8A1	1891229
A0A2D9XNP1	A0A009J8A1	1913988
A0A2E6HAR1	A0A009J8A1	2020862
A0A2E7CQW6	A0A009J8A1	2026728
A0A2E8DVE5	A0A009J8A1	2026781
A0A2G2AG89	A0A009J8A1	2030825
A0A2G2J3W5	A0A009J8A1	2030823
A0A2I0DS41	A0A009J8A1	2058316
A0A2M9R3P7	A0A009J8A1	2008672
A0A2N1A5S6	A0A009J8A1	2058326
A0A2N1TE39	A0A009J8A1	2013832
A0A2N2CLF2	A0A009J8A1	2013778
A0A2P7R2Q5	A0A009J8A1	2116700
A0A2S8F7N6	A0A009J8A1	124
A0A2T3N3H8	A0A009J8A1	266810
A0A2T4LT80	A0A009J8A1	29382
A0A2T4ZFS5	A0A009J8A1	1122261
A0A2Z4PP18	A0A009J8A1	178399
A0A316M071	A0A009J8A1	1898203
A0A317E6A6	A0A009J8A1	1264899
A0A354GZU0	A0A009J8A1	2053591
A0A354R8Y8	A0A009J8A1	2026799
A0A355T1U5	A0A009J8A1	2026785
A0A369UU52	A0A009J8A1	146923
A0A383TU45	A0A009J8A1	2497989
A0A3A4R8S8	A0A009J8A1	2049428
A0A3B0XV31	A0A009J8A1	652676
A0A3B9BRE7	A0A009J8A1	1904441
A0A3D0CD29	A0A009J8A1	56799
A0A3D0DMH1	A0A009J8A1	1898203
A0A3E0UIL7	A0A009J8A1	1655234
A0A3E1IEG8	A0A009J8A1	670
A0A3F2V305	A0A009J8A1	2083498
A0A3M1Y031	A0A009J8A1	2026887
A0A3S1BGM4	A0A009J8A1	170367
A0A3S8UT47	A0A009J8A1	312306
A0A402CYW9	A0A009J8A1	2219043
A0A413QQ09	A0A009J8A1	2292358
A0A416JUS7	A0A009J8A1	2293034
A0A419HW22	A0A009J8A1	2340915
A0A420E6U9	A0A009J8A1	2164068
A0A424Y509	A0A009J8A1	2293856
A0A4P8J215	A0A009J8A1	2571746
A0A4P8YG84	A0A009J8A1	2579935
A0A4P9VQS6	A0A009J8A1	202772
A0A4Q3W7P5	A0A009J8A1	1869212
A0A4R1QNC7	A0A009J8A1	1469948
A0A4R5LCI1	A0A009J8A1	2546446
A0A4R8BY77	A0A009J8A1	2512224
A0A4R9LW30	A0A009J8A1	1193500
A0A4S4C6Y8	A0A009J8A1	2565925
A0A4U1BXF4	A0A009J8A1	2571271
A0A4V5T6T3	A0A009J8A1	2590451
A0A4Y7ZNR4	A0A009J8A1	2555642
A0A502GEH5	A0A009J8A1	1850093
A0A510XWL4	A0A009J8A1	28107
A0A517YVC8	A0A009J8A1	2528020
A0A520Z9E0	A0A009J8A1	1871037
A0A521WLZ1	A0A009J8A1	2026734
A0A523N576	A0A009J8A1	2053306
A0A535A1Z8	A0A009J8A1	2026735
A0A5B0K026	A0A009J8A1	2605731
A0A5C8M2Z9	A0A009J8A1	400153
A0A5N7IV44	A0A009J8A1	238834
A0A645BS17	A0A009J8A1	1076179
A0A660SAF2	A0A009J8A1	2250710
A0A6C2C128	A0A009J8A1	2508881
A0A6L7QAG9	A0A009J8A1	2478486
A0A6M1U491	A0A009J8A1	2583234
A0A723AFN0	A0A009J8A1	28901
A0A7C6EDZ1	A0A009J8A1	2053306
A0A7R6SR95	A0A009J8A1	1278309
A0A7T1BML2	A0A009J8A1	670
A0A7V9JZ33	A0A009J8A1	2080302
A0A7W1Z8R5	A0A009J8A1	2080302
A0A7W2SEN6	A0A009J8A1	2759824
A0A7W4C793	A0A009J8A1	2760976
A0A7W4FGQ8	A0A009J8A1	2760930
A0A7W4ID16	A0A009J8A1	92759
A0A7W4WE37	A0A009J8A1	1562603
A0A7W5QFQ6	A0A009J8A1	2587060
A0A7X4LJ95	A0A009J8A1	2653505
A0A7Y3SWF9	A0A009J8A1	238834
A0A7Y4ZNT8	A0A009J8A1	2268199
A0A7Y9L822	A0A009J8A1	2723089
A0A7Z0IPU5	A0A009J8A1	61592
A0A812FP09	A0A009J8A1	2751176
A0A833PF89	A0A009J8A1	106648
A0A836Z2C1	A0A009J8A1	106654
A0A839XRG5	A0A009J8A1	577680
A0A846YKH3	A0A009J8A1	53429
A0A850F4M3	A0A009J8A1	2742797
A0A857I4E7	A0A009J8A1	134534
A0A8A9EDG0	A0A009J8A1	1032
A3U5G7	A0A009J8A1	216432
A6T3U9	A0A009J8A1	375286
A8ZKC7	A0A009J8A1	329726
B6R724	A0A009J8A1	439495
B7K6F5	A0A009J8A1	41431
C5NVS9	A0A009J8A1	546270
J9SB01	A0A009J8A1	337191
K4IHA7	A0A009J8A1	313595
L0K7X0	A0A009J8A1	748449
S6GKX4	A0A009J8A1	1330035
V2TNB3	A0A009J8A1	1392540
W0E7R1	A0A009J8A1	765910
W4QHB3	A0A009J8A1	1236971
A0A009JH02	A0A009JH02	1310619
A0A223Q3E2	A0A009JH02	303
A0A009JIA6	A0A009JIA6	1310619
A0A544XAR4	A0A009JIA6	1460882
A0A559W3U2	A0A009JIA6	2572908
A0A009JJR8	A0A009JJR8	1310619
A0A5Q0RWA1	A0A009JJR8	106654
A0A009JM56	A0A009JM56	1310619
A0A0B8NQM4	A0A009JM56	1481914
A0A0M2LSM7	A0A009JM56	1642040
A0A125G2B4	A0A009JM56	101571
A0A1P8EUE0	A0A009JM56	104087
A0A2G5M1E8	A0A009JM56	1712677
A0A3D5TDT8	A0A009JM56	1945593
A0A521UUQ5	A0A009JM56	1926873
A0A6G2P3D4	A0A009JM56	2690274
A0A7C7JT15	A0A009JM56	1871037
R9VA65	A0A009JM56	1331671
A0A009JN87	A0A009JN87	1310619
A0A0R2WC30	A0A009JN87	1655557
A0A2D6U0N6	A0A009JN87	2026773
A0A4Q4CR73	A0A009JN87	1909293
A0A4Y3TP82	A0A009JN87	104099
A0A658AGF9	A0A009JN87	85698
A0A6L7KN58	A0A009JN87	2604846
A0A839UGN9	A0A009JN87	300193
A1VTH5	A0A009JN87	365044
A0A009JPK8	A0A009JPK8	1310619
A0A7V3LIT1	A0A009JPK8	1883427
A0A009JQ09	A0A009JQ09	1310619
A0A229S5H3	A0A009JQ09	1125972
A0A386TDF3	A0A009JQ09	1968541
A0A009JQK7	A0A009JQK7	1310619
A0A7Z9IY85	A0A009JQK7	2026786
A0A009JY85	A0A009JY85	1310619
A0A1Q3WLZ5	A0A009JY85	1895854
A0A2E0M498	A0A009JY85	1913988
A0A327NKU0	A0A009JY85	2183553
A0A383REB4	A0A009JY85	44250
A0A4R6E0F0	A0A009JY85	2485129
A0A5J6QIJ5	A0A009JY85	2604832
A0A6M0IHC3	A0A009JY85	1987381
A0A6S4V7H2	A0A009JY85	654
A0A7W7JL79	A0A009JY85	43263
K4ZR87	A0A009JY85	1206781
R9B1P4	A0A009JY85	1120927
A0A009K0I0	A0A009K0I0	1310619
A0A257XKU4	A0A009K0I0	1970318
A0A430HH69	A0A009K0I0	2495579
A0A7C5CA56	A0A009K0I0	1872442
A0A009K3E2	A0A009K3E2	1310619
A0A2P1APA9	A0A009K3E2	470
A0A009K3J7	A0A009K3J7	1310619
A0A149SM85	A0A009K3J7	257438
A0A1B8PZW2	A0A009K3J7	34062
A0A1G6GIL7	A0A009K3J7	1219383
A0A1H6LB72	A0A009K3J7	1679444
A0A257Y701	A0A009K3J7	1970554
A0A2G1QS49	A0A009K3J7	1982044
A0A2V2A478	A0A009K3J7	498
A0A2X6FL77	A0A009K3J7	562
A0A318MWV3	A0A009K3J7	2070537
A0A3A8EU46	A0A009K3J7	2419601
A0A3B7M7W2	A0A009K3J7	2004647
A0A3B7PZJ5	A0A009K3J7	1879049
A0A4Q5VKZ2	A0A009K3J7	1889775
A0A4R0FPJ3	A0A009K3J7	2529837
A0A536UP50	A0A009K3J7	1891241
A0A5P3MSE7	A0A009K3J7	492
A0A653SS74	A0A009K3J7	1350776
A0A654B3P0	A0A009K3J7	2653184
A0A6G8RXZ5	A0A009K3J7	2715164
A0A6L5XAH9	A0A009K3J7	2606626
A0A7W6GG13	A0A009K3J7	1133344
A0A7W7IQ94	A0A009K3J7	13160
A0A7Y8PT08	A0A009K3J7	2749438
A0A841MXU7	A0A009K3J7	28090
A0A8B3LS34	A0A009K3J7	2496684
D3A381	A0A009K3J7	546268
I3TME4	A0A009K3J7	1110502
Q6FDM6	A0A009K3J7	62977
R6J2N5	A0A009K3J7	1263034
V2TRG8	A0A009K3J7	1392540
A0A009KAU9	A0A009KAU9	1310619
A0A378Q8G4	A0A009KAU9	34062
A0A009KPD8	A0A009KPD8	1310623
A0A031LV33	A0A009KPD8	466088
A0A0M3A6E9	A0A009KPD8	348388
A0A143G314	A0A009KPD8	1407071
A0A150I2X3	A0A009KPD8	52133
A0A151Y592	A0A009KPD8	1806892
A0A1B2LZ70	A0A009KPD8	1789224
A0A1T1GV89	A0A009KPD8	1960940
A0A241VSZ1	A0A009KPD8	1977876
A0A2G1TJ45	A0A009KPD8	470
A0A2N0WBW7	A0A009KPD8	1776741
A0A2S2FDM0	A0A009KPD8	1871111
A0A2U3N2I9	A0A009KPD8	2126983
A0A3D2SI65	A0A009KPD8	108980
A0A3D3FZ97	A0A009KPD8	40216
A0A4Q7B3Y9	A0A009KPD8	2518625
A0A558FB50	A0A009KPD8	280145
A0A6B2PYM2	A0A009KPD8	470
A0A6N1KMK3	A0A009KPD8	28090
A0A7H8VES0	A0A009KPD8	756892
N8Y940	A0A009KPD8	1120926
N9EZS5	A0A009KPD8	981324
N9N0W2	A0A009KPD8	1217692
N9PN01	A0A009KPD8	280145
N9SSL4	A0A009KPD8	70347
A0A009KSA8	A0A009KSA8	1310619
A0A014E1U8	A0A009KSA8	1310907
A0A2P1B1J2	A0A009KSA8	470
A0A009KZF4	A0A009KZF4	1310623
A0A558F9G5	A0A009KZF4	280145
A0A009L093	A0A009L093	1310623
A0A373FSJ0	A0A009L093	285
A0A009L2V9	A0A009L2V9	1310623
A0A2U3MYB5	A0A009L2V9	2126983
A0A7Y8PBB9	A0A009L2V9	2749087
N9D238	A0A009L2V9	981324
S3MSY3	A0A009L2V9	421052
A0A009L469	A0A009L469	1310623
A0A1C4GYZ8	A0A009L469	1673609
A0A009L572	A0A009L572	1310623
A0A0E9LZ40	A0A009L572	1236989
A0A2A5GA55	A0A009L572	2021391
A0A009L5A9	A0A009L5A9	1310623
N8QYY9	A0A009L5A9	1217711
A0A009LA08	A0A009LA08	1310652
A0A653KVD7	A0A009LA08	2653125
A0A009LG02	A0A009LG02	1310623
A0A0K9NLW5	A0A009LG02	29655
A0A117V1V6	A0A009LG02	1739114
A0A1E3W186	A0A009LG02	1774971
A0A1E4N341	A0A009LG02	1660120
A0A1V5CYR5	A0A009LG02	1811705
A0A1V9EGQ4	A0A009LG02	550983
A0A267T8F7	A0A009LG02	1509483
A0A2V5BM69	A0A009LG02	2135477
A0A397UAH8	A0A009LG02	44941
A0A3G9FXX9	A0A009LG02	108980
A0A3S3TL96	A0A009LG02	1908524
A0A446VWJ9	A0A009LG02	4567
A0A538REZ0	A0A009LG02	2053607
A0A654DXQ8	A0A009LG02	2653151
A0A6G1NL70	A0A009LG02	1027910
A0A7C3FJ99	A0A009LG02	2052143
A0A7S0SZJ7	A0A009LG02	81844
A0A7V3NPV1	A0A009LG02	2026735
A0A7W0VMV2	A0A009LG02	2026735
A0A821VZM6	A0A009LG02	392032
A0A825QH00	A0A009LG02	201
A0A855HMM7	A0A009LG02	108980
A0A8B5WJR8	A0A009LG02	1979961
K3YVG0	A0A009LG02	4555
Q6FF81	A0A009LG02	62977
A0A009LHJ9	A0A009LHJ9	1310623
A0A077LAA9	A0A009LHJ9	106649
A0A090AZI0	A0A009LHJ9	470
A0A0H3HJY2	A0A009LHJ9	1006551
A0A1H1WPZ6	A0A009LHJ9	1148509
A0A1M5AWY2	A0A009LHJ9	1124188
A0A1V4X3G2	A0A009LHJ9	1811700
A0A1X3D3F7	A0A009LHJ9	1931275
A0A257KAW4	A0A009LHJ9	2015558
A0A2L1UX87	A0A009LHJ9	1805933
A0A434A597	A0A009LHJ9	2133766
A0A4R7B223	A0A009LHJ9	1144873
A0A5E7EBY6	A0A009LHJ9	294
A0A653KPX8	A0A009LHJ9	2653125
A0A7D4P1V5	A0A009LHJ9	349967
A0A7W4L670	A0A009LHJ9	2723308
A0A8B2BWA3	A0A009LHJ9	1177574
A0A009LIK2	A0A009LIK2	1310623
A0A519E9W0	A0A009LIK2	2068624
A0A009LJR2	A0A009LJR2	1310623
A0A0F2NQN0	A0A009LJR2	1629722
A0A0G9H873	A0A009LJR2	1440762
A0A159ZZE6	A0A009LJR2	294
A0A1B8QZ08	A0A009LJR2	1859695
A0A1E4HJ95	A0A009LJR2	1660133
A0A1G3PKE2	A0A009LJR2	1802190
A0A1G3PSB7	A0A009LJR2	1802190
A0A1I7B0S0	A0A009LJR2	570156
A0A1W9SXE4	A0A009LJR2	1971625
A0A2A2G6L0	A0A009LJR2	2032627
A0A2D5F766	A0A009LJR2	1932666
A0A2G5LFZ5	A0A009LJR2	1712677
A0A366FUP2	A0A009LJR2	470868
A0A378YVE8	A0A009LJR2	93220
A0A433WL30	A0A009LJR2	1233460
A0A4Q9V2U0	A0A009LJR2	2529298
A0A518MT44	A0A009LJR2	1179672
