Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A1M6BRW9	unreviewed	A0A1M6BRW9_9RHOB	Reverse transcriptase (RNA-dependent DNA polymerase)	SAMN05444417_0820	Wenxinia saemankumensis	638
A0A1M6ZT90	unreviewed	A0A1M6ZT90_9FLAO	Reverse transcriptase (RNA-dependent DNA polymerase)	SAMN04487891_108131	Flagellimonas taeanensis	664
A0A1N7HYT1	unreviewed	A0A1N7HYT1_9FLAO	Reverse transcriptase domain-containing protein	EG359_02670	Chryseobacterium joostei	506
A0A1N7U009	unreviewed	A0A1N7U009_9PSED	Reverse transcriptase	PS417_20420	Pseudomonas simiae	682
A0A1R1I330	unreviewed	A0A1R1I330_9RHOO	Reverse transcriptase	BJN45_12375	Azonexus hydrophilus	693
A0A1T1GW50	unreviewed	A0A1T1GW50_9GAMM	Reverse transcriptase domain-containing protein	B1202_10335	Acinetobacter amyesii	658
A0A1Y5TNC3	unreviewed	A0A1Y5TNC3_9RHOB	Reverse transcriptase (RNA-dependent DNA polymerase)	PAM7971_03611	Pacificibacter marinus	550
A0A202BWT6	unreviewed	A0A202BWT6_9FLAO	Reverse transcriptase domain-containing protein	B0E34_17260	Chryseobacterium mucoviscidosis	721
A0A212A9D3	unreviewed	A0A212A9D3_9RHOB	Reverse transcriptase	CDV49_14180	Haematobacter genomosp. 1	693
A0A222E2I0	unreviewed	A0A222E2I0_9RHOB	Reverse transcriptase (RNA-dependent DNA polymerase)	ANTHELSMS3_01684	Antarctobacter heliothermus	642
A0A226X7T5	unreviewed	A0A226X7T5_CABSO	Reverse transcriptase domain-containing protein	BSU04_09050	Caballeronia sordidicola (Burkholderia sordidicola)	666
A0A261QTV9	unreviewed	A0A261QTV9_9BORD	Reverse transcriptase domain-containing protein	CAL19_16155	Bordetella genomosp. 7	653
A0A2P2E5D6	unreviewed	A0A2P2E5D6_9LEPT	Reverse transcriptase domain-containing protein	LPTSP4_36100	Leptospira ryugenii	658
A0A2P8EVD2	unreviewed	A0A2P8EVD2_9GAMM	Reverse transcriptase (RNA-dependent DNA polymerase)	CLV44_11268	Marinobacterium halophilum	664
A0A2S1R137	unreviewed	A0A2S1R137_9FLAO	Reverse transcriptase	HYN59_14790	Flavobacterium album	773
A0A2S7WMM5	unreviewed	A0A2S7WMM5_9FLAO	Reverse transcriptase	BTO18_06385	Polaribacter porphyrae	775
A0A2S9ELL0	unreviewed	A0A2S9ELL0_9PSED	Reverse transcriptase domain-containing protein	CQZ99_16210	Pseudomonas poae	669
A0A2S9KGG1	unreviewed	A0A2S9KGG1_9BURK	Reverse transcriptase	C6P61_05595	Malikia spinosa	682
A0A2T0MCR1	unreviewed	A0A2T0MCR1_9FLAO	Reverse transcriptase (RNA-dependent DNA polymerase)	CLV81_3679	Flagellimonas meridianipacifica	766
A0A2W4C815	unreviewed	A0A2W4C815_9HYPH	Reverse transcriptase	CPY51_30990	Rhizobium tubonense	687
A0A2Z4LWV4	unreviewed	A0A2Z4LWV4_9FLAO	Reverse transcriptase domain-containing protein	HME9304_02878	Flagellimonas maritima	679
A0A318PH82	unreviewed	A0A318PH82_KOMXY	Reverse transcriptase	CFR75_16115	Komagataeibacter xylinus (Gluconacetobacter xylinus)	670
A0A328BWX1	unreviewed	A0A328BWX1_9PAST	Reverse transcriptase domain-containing protein	C5N92_05850	Glaesserella australis	371
A0A328F5N3	unreviewed	A0A328F5N3_9BACT	RNA-directed DNA polymerase	EYB58_17010	Desulfobacter hydrogenophilus	647
A0A371JW41	unreviewed	A0A371JW41_9FLAO	Reverse transcriptase	DX873_05175	Flagellimonas nanhaiensis	745
A0A371P9H9	unreviewed	A0A371P9H9_9ACTN	Reverse transcriptase domain-containing protein	DX116_03005	Aeromicrobium endophyticum	695
A0A378QXZ9	unreviewed	A0A378QXZ9_9GAMM	Reverse transcriptase (RNA-dependent DNA polymerase)	NCTC12877_00403	Moraxella caprae	673
A0A388TFN2	unreviewed	A0A388TFN2_9BACT	Reverse transcriptase	NO2_0498	Candidatus Termititenax persephonae	681
A0A3A6U296	unreviewed	A0A3A6U296_9GAMM	RNA-directed DNA polymerase	D5R81_06735	Parashewanella spongiae	662
A0A3D8M452	unreviewed	A0A3D8M452_9ALTE	Reverse transcriptase domain-containing protein	DXV75_14520	Alteromonas aestuariivivens	642
A0A3D9B738	unreviewed	A0A3D9B738_9FLAO	Reverse transcriptase domain-containing protein	DRF62_19590	Chryseobacterium piscium	559
A0A3L7AB27	unreviewed	A0A3L7AB27_9MICO	RNA-directed DNA polymerase	D9V32_02930	Mycetocola tolaasinivorans	683
A0A3N4MZA5	unreviewed	A0A3N4MZA5_9BACT	RNA-directed DNA polymerase	EG028_11755	Chitinophaga barathri	691
A0A3S4KX11	unreviewed	A0A3S4KX11_9ENTR	Reverse transcriptase (RNA-dependent DNA polymerase)	NCTC11466_04278	Cedecea lapagei	680
A0A432W965	unreviewed	A0A432W965_9GAMM	Reverse transcriptase domain-containing protein	CWE09_07795	Aliidiomarina minuta	646
A0A437QBQ2	unreviewed	A0A437QBQ2_9GAMM	RNA-directed DNA polymerase	EOE67_19380	Rheinheimera riviphila	599
A0A4Q5H3J2	unreviewed	A0A4Q5H3J2_9BACE	RNA-directed DNA polymerase	EAJ06_22255	Bacteroides intestinalis	730
A0A4R0H7M7	unreviewed	A0A4R0H7M7_9ENTR	RNA-directed DNA polymerase	E0L21_12465	Kosakonia quasisacchari	666
A0A4R0MXC1	unreviewed	A0A4R0MXC1_9SPHI	RNA-directed DNA polymerase	EZ428_09220	Pedobacter frigiditerrae	645
A0A4R4K353	unreviewed	A0A4R4K353_9BACT	RNA-directed DNA polymerase	EZE20_18755	Arundinibacter roseus	669
A0A4U0R3Q7	unreviewed	A0A4U0R3Q7_9RHOB	RNA-directed DNA polymerase	FA743_19320	Paracoccus gahaiensis	685
A0A4V3DKW9	unreviewed	A0A4V3DKW9_9GAMM	Reverse transcriptase (RNA-dependent DNA polymerase)	DFR29_12739	Tahibacter aquaticus	693
A0A4Y9LDH2	unreviewed	A0A4Y9LDH2_9BRAD	RNA-directed DNA polymerase	E4K65_39565	Bradyrhizobium niftali	676
A0A4Z0L6X3	unreviewed	A0A4Z0L6X3_9FLAO	RNA-directed DNA polymerase	E4635_10010	Flavobacterium humi	716
A0A511NLI8	unreviewed	A0A511NLI8_9FLAO	Reverse transcriptase domain-containing protein	EB1_34550	Empedobacter brevis NBRC 14943 = ATCC 43319	595
A0A514EFM2	unreviewed	A0A514EFM2_9XANT	RNA-directed DNA polymerase	E4A48_15120	Xanthomonas cerealis pv. cerealis	657
A0A517M0L8	unreviewed	A0A517M0L8_9BACT	Reverse transcriptase (RNA-dependent DNA polymerase)	EC9_26070	Rosistilla ulvae	633
A0A518JVU8	unreviewed	A0A518JVU8_9BACT	Reverse transcriptase (RNA-dependent DNA polymerase)	Poly24_33780	Rosistilla carotiformis	633
A0A556ACS8	unreviewed	A0A556ACS8_9BURK	RNA-directed DNA polymerase	FOZ76_23115	Verticiella sediminum	690
A0A562KPQ9	unreviewed	A0A562KPQ9_SPHWJ	Reverse transcriptase (RNA-dependent DNA polymerase)	IQ35_00002	Sphingobium wenxiniae (strain DSM 21828 / CGMCC 1.7748 / JZ-1)	644
A0A5B8W0D3	unreviewed	A0A5B8W0D3_9SPHI	RNA-directed DNA polymerase	FSB76_14525	Mucilaginibacter ginsenosidivorax	742
A0A5B9GKV8	unreviewed	A0A5B9GKV8_9PROT	RNA-directed DNA polymerase	EOV40_014410	Acetobacter oryzoeni	657
A0A5C5ZVP2	unreviewed	A0A5C5ZVP2_9BACT	Reverse transcriptase (RNA-dependent DNA polymerase)	Pla100_50250	Neorhodopirellula pilleata	629
A0A5C6D9L2	unreviewed	A0A5C6D9L2_9BACT	Reverse transcriptase (RNA-dependent DNA polymerase)	Q31b_57650	Novipirellula aureliae	629
A0A5C7ASS6	unreviewed	A0A5C7ASS6_9FLAO	RNA-directed DNA polymerase	FUA26_06685	Seonamhaeicola algicola	745
A0A5E4X0D2	unreviewed	A0A5E4X0D2_9BURK	Reverse transcriptase domain-containing protein	PIN31115_03563	Pandoraea iniqua	677
A0A5M4B9J5	unreviewed	A0A5M4B9J5_9FLAO	Reverse transcriptase domain-containing protein	RCZ01_12270	Capnocytophaga felis	586
A0A5P8P120	unreviewed	A0A5P8P120_9BACT	RNA-directed DNA polymerase	FJR48_06425	Sulfurimonas lithotrophica	673
A0A5Q0BKI9	unreviewed	A0A5Q0BKI9_9GAMM	RNA-directed DNA polymerase	F6R98_18060	Candidatus Methylospira mobilis	645
A0A5R8MLG0	unreviewed	A0A5R8MLG0_9GAMM	RNA-directed DNA polymerase	FEI13_02815	Halomonas urmiana	689
A0A5S9NWI2	unreviewed	A0A5S9NWI2_9HYPH	Reverse transcriptase domain-containing protein	STARVERO_01817	Starkeya nomas	690
A0A641APX9	unreviewed	A0A641APX9_9ACTN	Reverse transcriptase domain-containing protein	ESP62_001930	Aeromicrobium fastidiosum	691
A0A6M0CKS8	unreviewed	A0A6M0CKS8_9FLAO	Reverse transcriptase	GWK10_05145	Spongiivirga citrea	752
A0A6N3T511	unreviewed	A0A6N3T511_9PROT	Reverse transcriptase domain-containing protein	Abin_024_013	Acetobacter indonesiensis	668
A0A6N7VSR1	unreviewed	A0A6N7VSR1_9ACTO	RNA-directed DNA polymerase	FYJ24_08590	Scrofimicrobium canadense	679
A0A7H0LG21	unreviewed	A0A7H0LG21_9SPHN	RNA-directed DNA polymerase	H3Z74_18015	Sphingomonas alpina	632
A0A7K0KIN2	unreviewed	A0A7K0KIN2_9BACT	RNA-directed DNA polymerase	FYJ73_14025	Hallella mizrahii	739
A0A7L9GHR0	unreviewed	A0A7L9GHR0_9PSED	RNA-directed DNA polymerase	ICN73_03165	Pseudomonas taiwanensis	669
A0A7W8DKW3	unreviewed	A0A7W8DKW3_9BACT	Reverse transcriptase domain-containing protein	HNQ65_003028	Prosthecobacter vanneervenii	665
A0A7W8DVZ7	unreviewed	A0A7W8DVZ7_9HYPH	Reverse transcriptase domain-containing protein	HNQ66_002867	Shinella fusca	553
A0A840LCL9	unreviewed	A0A840LCL9_9BURK	Reverse transcriptase domain-containing protein	HNP55_004460	Roseateles oligotrophus	668
A0A842HZ40	unreviewed	A0A842HZ40_9SPHN	RNA-directed DNA polymerase	H6P80_03940	Parasphingopyxis marina	688
A0A844WGS1	unreviewed	A0A844WGS1_9RHOB	Reverse transcriptase domain-containing protein	GLS40_15170	Pseudooceanicola pacificus	647
A0A844XEA3	unreviewed	A0A844XEA3_9SPHN	Reverse transcriptase domain-containing protein	GRF63_09200	Aurantiacibacter rhizosphaerae	658
A0A853G6S6	unreviewed	A0A853G6S6_9BURK	RNA-directed DNA polymerase	H0A72_13720	Parapusillimonas granuli	651
A0A853JAZ6	unreviewed	A0A853JAZ6_9GAMM	RNA-directed DNA polymerase	H0E84_05915	Luteimonas salinisoli	642
A0A8J2XYM6	unreviewed	A0A8J2XYM6_9BURK	Reverse transcriptase domain-containing protein	GCM10007205_06350	Oxalicibacterium flavum	690
A0A8J3AXZ1	unreviewed	A0A8J3AXZ1_9BURK	Reverse transcriptase domain-containing protein	GCM10008066_17720	Oxalicibacterium faecigallinarum	690
A0A916JF41	unreviewed	A0A916JF41_9BACT	Reverse transcriptase domain-containing protein	DYBT9275_04823	Dyadobacter helix	685
A0A917DZU5	unreviewed	A0A917DZU5_9BACT	Reverse transcriptase domain-containing protein	GCM10011514_53390	Emticicia aquatilis	711
A0A917Z9P5	unreviewed	A0A917Z9P5_9GAMM	DNA-binding protein	GCM10011348_04830	Marinobacterium nitratireducens	647
A0A934IX13	unreviewed	A0A934IX13_9HYPH	RNA-directed DNA polymerase	JEQ47_14490	Devosia sediminis	602
A0A9N8P1E0	unreviewed	A0A9N8P1E0_9FLAO	Reverse transcriptase domain-containing protein	FLAPXU55_01719	Flavobacterium panici	720
A0A9X1I5W7	unreviewed	A0A9X1I5W7_9FLAO	RNA-directed DNA polymerase	LG651_09240	Neotamlana sargassicola	713
A0A9X4BZ03	unreviewed	A0A9X4BZ03_9PSED	RNA-directed DNA polymerase	M5G27_06045	Pseudomonas shahriarae	657
A0AA35UIB9	unreviewed	A0AA35UIB9_9PROT	RNA-directed DNA polymerase	LMG32879_002863	Brytella acorum	690
A0AA43ZSC3	unreviewed	A0AA43ZSC3_9LACT	Antiviral reverse transcriptase Drt3b	drt3b Q4F26_06255	Atopococcus tabaci	710
A0AA45W7D1	unreviewed	A0AA45W7D1_9RHOB	RNA-directed DNA polymerase	JHX88_18255	Paracoccus saliphilus	647
A0AA46YQX2	unreviewed	A0AA46YQX2_9GAMM	RNA-directed DNA polymerase	M0220_02360	Halomonas qinghailakensis	685
A0AA86WRX6	unreviewed	A0AA86WRX6_9VIBR	Reverse transcriptase domain-containing protein	VCR31J2_1270424	Vibrio coralliirubri	661
A0AAE3G301	unreviewed	A0AAE3G301_9GAMM	Reverse transcriptase domain-containing protein	J2T57_001198	Natronocella acetinitrilica	678
A0AAE9LS99	unreviewed	A0AAE9LS99_9GAMM	RNA-directed DNA polymerase	M5E07_03140	Acinetobacter tibetensis	654
A0AAJ1EZY2	unreviewed	A0AAJ1EZY2_9GAMM	RNA-directed DNA polymerase	MJ923_05760	Shewanella zhuhaiensis	503
A0AAJ3HVV0	unreviewed	A0AAJ3HVV0_PROHU	Reverse transcriptase (EC 2.7.7.49)	M997_0244	Proteus hauseri ATCC 700826	646
A0AAN0N8N2	unreviewed	A0AAN0N8N2_9VIBR	Antiviral reverse transcriptase Drt3b	drt3b QYQ95_08885	Vibrio cyclitrophicus ZF270	650
A0AAP0SHM4	unreviewed	A0AAP0SHM4_9PSED	RNA-directed DNA polymerase	BV82_1753	Pseudomonas donghuensis	638
A0AAQ1P2Y0	unreviewed	A0AAQ1P2Y0_9PSED	Reverse transcriptase domain-containing protein	JV551A3_V1_240029	Pseudomonas inefficax	660
A0AAU6WF13	unreviewed	A0AAU6WF13_9MICC	RNA-directed DNA polymerase	QMQ05_03275	Glutamicibacter ectropisis	658
A0AB94IDE6	unreviewed	A0AB94IDE6_9GAMM	RNA-directed DNA polymerase	O970_03445	Candidatus Schmidhempelia bombi str. Bimp	691
A0ABN1K039	unreviewed	A0ABN1K039_9BURK	RNA-directed DNA polymerase	GCM10009107_23230	Ideonella azotifigens	690
A0ABN6KM23	unreviewed	A0ABN6KM23_9LEPT	DNA-binding protein	LPTSP3_g31260	Leptospira kobayashii	627
A0ABR6NBX9	unreviewed	A0ABR6NBX9_9SPHN	Reverse transcriptase domain-containing protein	HNP60_000749	Sphingobium lignivorans	643
A0ABR8WY13	unreviewed	A0ABR8WY13_9MICO	RNA-directed DNA polymerase	H9634_12330	Brevibacterium gallinarum	557
A0ABR9MNP9	unreviewed	A0ABR9MNP9_9PROT	RNA-directed DNA polymerase	IGM82_03550	Bombella apis	670
A0ABR9SV16	unreviewed	A0ABR9SV16_9PSED	RNA-directed DNA polymerase	IQK56_18625	Pseudomonas cyclaminis	659
A0ABR9TBF9	unreviewed	A0ABR9TBF9_9SPHI	Reverse transcriptase domain-containing protein	C4F40_18420	Sphingobacterium pedocola	729
A0ABS0AKS2	unreviewed	A0ABS0AKS2_9GAMM	Reverse transcriptase	Y5W_00018	Alloalcanivorax profundimaris	685
A0ABS0DJA8	unreviewed	A0ABS0DJA8_9GAMM	RNA-directed DNA polymerase	IV431_00290	Rahnella victoriana	668
A0ABS1QTM2	unreviewed	A0ABS1QTM2_9GAMM	RNA-directed DNA polymerase	JKV55_11565	Zobellella iuensis	679
A0ABS2U784	unreviewed	A0ABS2U784_9LEPT	RNA-directed DNA polymerase	JWG45_03565	Leptospira ainlahdjerensis	629
A0ABS3A302	unreviewed	A0ABS3A302_9VIBR	RNA-directed DNA polymerase	JYA62_14470	Vibrio neptunius	661
A0ABS3NSR7	unreviewed	A0ABS3NSR7_9GAMM	RNA-directed DNA polymerase	J3492_12930	Psychrobacter coccoides	419
A0ABS4BYV0	unreviewed	A0ABS4BYV0_9FLAO	RNA-directed DNA polymerase	J8H85_18205	Mariniflexile gromovii	713
A0ABS4DNC4	unreviewed	A0ABS4DNC4_9GAMM	RNA-directed DNA polymerase	J7I44_09560	Frateuria flava	647
A0ABS5CUC3	unreviewed	A0ABS5CUC3_9FLAO	RNA-directed DNA polymerase	J3S90_10425	Flavobacterium flabelliforme	720
A0ABS6MJZ3	unreviewed	A0ABS6MJZ3_9GAMM	RNA-directed DNA polymerase	KQY15_08550	Arsukibacterium indicum	662
A0ABS6N2V6	unreviewed	A0ABS6N2V6_9RHOB	RNA-directed DNA polymerase	KUH32_01120	Thalassococcus arenae	659
A0ABS7BMA4	unreviewed	A0ABS7BMA4_9SPHN	RNA-directed DNA polymerase	KZ820_08360	Sphingomonas citri	583
A0ABS9AU17	unreviewed	A0ABS9AU17_9GAMM	ABC transporter ATP-binding protein	HOP59_14025	Billgrantia aerodenitrificans	685
A0ABS9CHF6	unreviewed	A0ABS9CHF6_9BACT	RNA-directed DNA polymerase	I6E12_08640	Xylanibacter brevis	734
A0ABT0EH17	unreviewed	A0ABT0EH17_9PSED	RNA-directed DNA polymerase	L9Z73_11255	Pseudomonas emilianonis	662
A0ABT1TUF1	unreviewed	A0ABT1TUF1_9GAMM	RNA-directed DNA polymerase	NP589_13255	Methylomonas rosea	645
A0ABT1VVX0	unreviewed	A0ABT1VVX0_9PROT	RNA-directed DNA polymerase	NFI88_06450	Rhizosaccharibacter radicis	640
A0ABT2GEQ2	unreviewed	A0ABT2GEQ2_9MICO	RNA-directed DNA polymerase	NVV95_09025	Herbiconiux gentiana	665
A0ABT3BUW4	unreviewed	A0ABT3BUW4_9PSED	RNA-directed DNA polymerase	OH718_08275	Pseudomonas capsici	677
A0ABT4IQA1	unreviewed	A0ABT4IQA1_9GAMM	RNA-directed DNA polymerase	L0635_02025	Vreelandella janggokensis	645
A0ABT6UHG9	unreviewed	A0ABT6UHG9_9GAMM	RNA-directed DNA polymerase	ODY93_20220	Shewanella xiamenensis	665
A0ABT7QFW4	unreviewed	A0ABT7QFW4_9GAMM	RNA-directed DNA polymerase	OB962_17840	Aeromonas piscicola	654
A0ABT8YBZ0	unreviewed	A0ABT8YBZ0_9SPHN	Antiviral reverse transcriptase Drt3b	drt3b Q4F19_13220	Sphingomonas natans	690
A0ABU0VZC6	unreviewed	A0ABU0VZC6_9RHOB	Antiviral reverse transcriptase Drt3b	drt3b Q9295_12015	Pseudogemmobacter lacusdianii	689
A0ABU1TTV2	unreviewed	A0ABU1TTV2_9FLAO	Reverse transcriptase domain-containing protein	J2X31_003326	Flavobacterium arsenatis	731
A0ABU3ZLP5	unreviewed	A0ABU3ZLP5_9GAMM	Antiviral reverse transcriptase Drt3b	drt3b R2X38_18795	Photobacterium rosenbergii	653
A0ABU5VAD0	unreviewed	A0ABU5VAD0_9PSED	Antiviral reverse transcriptase Drt3b	drt3b VA602_03105	Pseudomonas machongensis	638
A0ABU6BR67	unreviewed	A0ABU6BR67_9PSED	RNA-directed DNA polymerase	LLW09_08670	Pseudomonas paracarnis	638
A0ABU6KLP8	unreviewed	A0ABU6KLP8_ENTAS	Antiviral reverse transcriptase Drt3b	drt3b QAA55_000400	Enterobacter asburiae	655
A0ABU7G2T2	unreviewed	A0ABU7G2T2_9ALTE	RNA-directed DNA polymerase	SNR37_003135	Agarivorans aestuarii	685
A0ABU8R6R8	unreviewed	A0ABU8R6R8_9PSED	Antiviral reverse transcriptase Drt3b	drt3b V7V80_11940	Pseudomonas kermanshahensis	638
A0ABV1RK81	unreviewed	A0ABV1RK81_9ALTE	Antiviral reverse transcriptase Drt3b	drt3b ABS311_14480	Catenovulum sediminis	662
A0ABV3ZVE9	unreviewed	A0ABV3ZVE9_9BURK	Antiviral reverse transcriptase Drt3b	drt3b AB6724_11745	Comamonas guangdongensis	653
A0ABV4LDW7	unreviewed	A0ABV4LDW7_9VIBR	Antiviral reverse transcriptase Drt3b	drt3b ACED24_08435	Vibrio kanaloae	679
A0ABV4VLJ2	unreviewed	A0ABV4VLJ2_9GAMM	Antiviral reverse transcriptase Drt3b	drt3b ACE02W_15295	Shewanella mangrovisoli	665
A0ABV5FAT3	unreviewed	A0ABV5FAT3_9FLAO	Antiviral reverse transcriptase Drt3b	drt3b ACFFU9_07250	Mariniflexile ostreae	681
A0ABV6CQB1	unreviewed	A0ABV6CQB1_9SPHN	Antiviral reverse transcriptase Drt3b	drt3b ACFFJC_01390	Novosphingobium soli	639
A0ABV7FGI6	unreviewed	A0ABV7FGI6_9GAMM	Antiviral reverse transcriptase Drt3b	drt3b ACFODX_09275	Cellvibrio fontiphilus	471
A0ABV8H7A1	unreviewed	A0ABV8H7A1_9FLAO	Antiviral reverse transcriptase Drt3b	drt3b ACFOS1_10535	Zunongwangia endophytica	701
A0ABW8PIJ0	unreviewed	A0ABW8PIJ0_9FLAO	Antiviral reverse transcriptase Drt3b	drt3b V3467_11185	Flavobacterium covae	765
A0ABW8RVI7	unreviewed	A0ABW8RVI7_9BACT	Antiviral reverse transcriptase Drt3b	drt3b U0R11_10170	Aquirufa salirivi	685
A0ABW9YM72	unreviewed	A0ABW9YM72_9GAMM	RNA-directed DNA polymerase	EIZ48_19120	Photobacterium alginatilyticum	654
A0ABX0KGV6	unreviewed	A0ABX0KGV6_9PROT	Reverse transcriptase	GOB84_18255	Acetobacter fallax	690
A0ABX2AQY1	unreviewed	A0ABX2AQY1_9BACT	RNA-directed DNA polymerase	HPS55_00495	Xylanibacter rodentium	725
A0ABX2B4F3	unreviewed	A0ABX2B4F3_9BACT	RNA-directed DNA polymerase	HPS54_07500	Xylanibacter caecicola	729
A0ABX2BPP5	unreviewed	A0ABX2BPP5_9BURK	Reverse transcriptase domain-containing protein	GNZ12_12495	Paraburkholderia solitsugae	677
A0ABX2SW23	unreviewed	A0ABX2SW23_VREZH	RNA-directed DNA polymerase	HZS79_15605	Vreelandella zhaodongensis (Halomonas zhaodongensis)	647
A0ABX4Q4P8	unreviewed	A0ABX4Q4P8_9PSED	Reverse transcriptase (RNA-dependent DNA polymerase)	ATI02_4732	Pseudomonas baetica	655
A0ABX4Q823	unreviewed	A0ABX4Q823_9PSED	Reverse transcriptase (RNA-dependent DNA polymerase)	ATI02_6052	Pseudomonas baetica	574
A0ABX4Y0Z8	unreviewed	A0ABX4Y0Z8_9PSED	Reverse transcriptase domain-containing protein	CCU68_19485	Pseudomonas gingeri NCPPB 3146 = LMG 5327	653
A0ABX5DJW0	unreviewed	A0ABX5DJW0_9VIBR	Reverse transcriptase domain-containing protein	COR51_02345	Vibrio mediterranei	674
A0ABX5PKJ9	unreviewed	A0ABX5PKJ9_9GAMM	Reverse transcriptase (RNA-dependent DNA polymerase)	C8J23_1261	Shewanella chilikensis	663
A0ABX6CIN8	unreviewed	A0ABX6CIN8_ACIB2	Reverse transcriptase domain-containing protein	FQU82_03009	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81)	654
A0ABX6RD17	unreviewed	A0ABX6RD17_PSEMX	RNA-directed DNA polymerase	H4W19_05130	Pseudoxanthomonas mexicana	650
