sapID	sapGO	repID	cluFlag	LCAtaxID
P04632	GO:0110158;GO:0005829;GO:0070062;GO:0016020;GO:0005886;GO:0005509;GO:0004198;GO:0008284;GO:0006508;GO:0016241;	A0A015L8I9	1	2759
Q96L46	GO:0110158;GO:0005829;GO:0005886;GO:0005509;GO:0004198;	A0A015L8I9	1	2759
A0A0B5HFB3	GO:0005634;GO:0003677;GO:0006355;GO:0048731;	A0A015LI08	1	N/A
B3KXR4	N/A	A0A015M3Q9	2	33154
Q66K47	GO:0005730;GO:0032040;GO:0006364;	A0A015M4M3	1	131567
H3BQH3	N/A	A0A015MM75	1	131567
B4DQR1	GO:0047453;	A0A015MVQ4	1	131567
B3KQW4	N/A	A0A016S0Z7	2	6072
A0A024R521	GO:0032587;GO:0005085;GO:0005543;GO:0032012;	A0A016S254	1	2759
B4E2T3	GO:0016021;GO:0003779;	A0A016S6I5	1	33213
E9PKG0	N/A	A0A016S6I5	1	33213
A0A076L8Z0	GO:0015030;GO:0005737;GO:0003723;GO:0006397;GO:0008380;	A0A016S822	1	131567
I3QJX9	GO:0015030;GO:0005737;GO:0003723;GO:0006397;GO:0008380;	A0A016S822	3	131567
B0QZ18	GO:0016235;GO:0031965;GO:0005654;GO:0005544;	A0A016SDK6	1	2759
F2Z2V0	GO:0016235;GO:0031965;GO:0005654;GO:0005544;	A0A016SDK6	1	2759
Q59EI4	GO:0005544;	A0A016SDK6	1	2759
Q99829	GO:0016235;GO:0035577;GO:0005737;GO:0005829;GO:0070062;GO:0016020;GO:0031965;GO:0005654;GO:0005634;GO:0005886;GO:0005509;GO:0005544;GO:0004175;GO:0042802;GO:0051059;GO:0001786;GO:0071277;GO:0006629;GO:0043392;GO:0010629;GO:1901223;GO:1990138;GO:0045666;GO:0051897;GO:1903265;GO:0006508;GO:0043122;GO:0016192;	A0A016SDK6	2	2759
E5RFE3	GO:0005694;GO:0003677;GO:0003917;GO:0006265;	A0A016SV51	1	N/A
E5RGR4	GO:0005694;GO:0003677;GO:0003917;GO:0006265;	A0A016SV51	3	N/A
F2YYR6	GO:0016020;GO:0098609;	A0A016SXJ3	3	131567
E7ETR7	GO:0036374;GO:0006751;	A0A016SYJ4	1	N/A
F5GYF1	N/A	A0A016TK96	1	2759
A0A087X0P1	GO:0005829;GO:0005085;GO:0035556;	A0A016TPI8	1	131567
A0A2X0SFW4	GO:0005829;GO:0005085;GO:0035556;	A0A016TPI8	1	131567
E9PEM0	GO:0005829;GO:0005085;GO:0035556;	A0A016TPI8	1	131567
Q1ZYL3	GO:0005829;GO:0005085;GO:0035556;	A0A016TPI8	1	131567
Q53TH6	GO:0005829;GO:0005085;GO:0035556;	A0A016TPI8	1	131567
Q9NR80	GO:0005829;GO:0032587;GO:0005085;GO:0019904;GO:0046847;GO:0035556;GO:0030032;GO:0051056;	A0A016TPI8	1	131567
A0A3B3IRK9	GO:0005783;GO:0005615;GO:0005796;GO:0005509;GO:0042730;GO:0050896;	A0A016TX86	1	131567
A0A0A0MTJ6	GO:0005912;GO:0030424;GO:0005737;GO:0005856;GO:0016020;GO:0005634;GO:0051015;GO:0045296;GO:0048854;GO:0007155;GO:0030154;	A0A016U7T7	1	33213
F6KRI5	GO:0005912;GO:0030424;GO:0005737;GO:0005856;GO:0016020;GO:0005634;GO:0051015;GO:0045296;GO:0048854;GO:0007155;GO:0030154;	A0A016U7T7	1	33213
Q9UKY3	GO:0005783;GO:0005576;GO:0005811;GO:0052689;GO:0009653;GO:0016042;	A0A016UIT7	1	131567
Q76MU0	GO:0110165;GO:0030041;	A0A016UXN4	1	N/A
B3KYB7	GO:0008526;	A0A016V3U8	3	33317
B4E0W7	GO:0005739;GO:0035243;	A0A016VDU6	1	33154
B7Z3L7	GO:0016021;GO:0022857;	A0A016VUA2	2	131567
H3BM47	GO:0008374;GO:0006629;	A0A016VVU2	1	2759
A0A1B0GV31	GO:0005737;GO:0004046;GO:0006520;	A0A016VZQ4	1	2759
A0A1B0GVA5	GO:0005737;GO:0004046;GO:0006520;	A0A016VZQ4	1	2759
B4DPC3	GO:0005737;GO:0004046;GO:0006520;	A0A016VZQ4	1	2759
Q8NBU1	GO:0005524;GO:0004672;GO:0006468;	A0A016W956	1	131567
A0A140VJJ9	GO:0016021;GO:0016746;GO:0036374;GO:0006751;	A0A016WA51	1	131567
B4DEL3	GO:0036374;GO:0016740;GO:0006751;	A0A016WA51	1	131567
B4DND4	GO:0036374;GO:0016740;GO:0006751;	A0A016WA51	2	131567
P36269	GO:0016021;GO:0031226;GO:0005886;GO:0036374;GO:0102953;GO:0103068;GO:0002951;GO:0000048;GO:0006520;GO:0006631;GO:0006750;GO:0006751;GO:0006954;GO:1901750;GO:0006508;	A0A016WA51	1	131567
J3KSQ2	GO:0030132;GO:0030130;GO:0005198;GO:0006886;GO:0016192;	A0A016WA90	1	N/A
J3QL20	GO:0030132;GO:0030130;GO:0005198;GO:0006886;GO:0016192;	A0A016WA90	1	N/A
A0A1B0GTG3	N/A	A0A016WM90	1	33213
A0A7I2V4I7	N/A	A0A016WPS6	2	131567
H0YL22	N/A	A0A016WPS6	1	131567
H0YNB7	GO:0005829;GO:0005739;	A0A016WPS6	1	131567
E7ES28	GO:0016021;GO:0005381;	A0A016WVJ7	1	N/A
Q5JU69	N/A	A0A016X027	1	131567
A0A087WT99	GO:0016604;GO:0005654;GO:0046872;	A0A017S4R7	1	33154
A0A087WXR7	GO:0005654;GO:0032299;	A0A022Q425	1	2759
A0A2R8Y4S2	GO:0005654;GO:0032299;	A0A022Q425	1	2759
A0A2R8Y6M7	GO:0005654;GO:0032299;	A0A022Q425	1	2759
A0A2R8Y7Q3	GO:0005634;GO:0032299;	A0A022Q425	1	2759
A0A2R8Y883	GO:0005654;GO:0032299;	A0A022Q425	1	2759
A0A2R8YCX2	GO:0005654;GO:0032299;	A0A022Q425	1	2759
A0A2R8YEC1	GO:0005654;GO:0032299;	A0A022Q425	2	2759
A1L167	GO:0005654;GO:0005634;GO:0005886;GO:0005524;GO:0061631;GO:0000209;	A0A022QAC5	1	131567
A4D1L5	GO:0005524;GO:0061631;GO:0043161;	A0A022QAC5	1	131567
F8VV71	GO:0001650;GO:0005654;GO:0005524;GO:0019787;GO:0032446;	A0A022QAC5	1	131567
P61088	GO:0005737;GO:0005829;GO:0070062;GO:0001650;GO:0005654;GO:0005634;GO:0032991;GO:0031372;GO:0035370;GO:0000151;GO:0005524;GO:0003723;GO:0043130;GO:0061631;GO:0031625;GO:0004842;GO:0000729;GO:0000724;GO:0016574;GO:0045739;GO:2000781;GO:0031058;GO:0043123;GO:1902533;GO:0051092;GO:1902523;GO:0051443;GO:0006301;GO:0070534;GO:0000209;GO:0016567;GO:0006282;GO:0033182;GO:0050852;GO:0006511;	A0A022QAC5	1	131567
P62256	GO:0005829;GO:0005634;GO:0005524;GO:0061631;GO:0004842;GO:0043161;GO:0070979;GO:0070936;GO:0000209;GO:0006511;	A0A022QAC5	1	131567
Q5JXB2	GO:0070062;GO:0005634;GO:0061631;GO:0000209;	A0A022QAC5	1	131567
V9HW41	GO:0001650;GO:0005654;GO:0005524;GO:0061631;GO:0070534;GO:0006511;	A0A022QAC5	1	131567
D6RJF7	GO:0005524;GO:0004672;GO:0006468;	A0A022RAW9	1	131567
R4GN47	GO:0005524;GO:0004672;GO:0006468;	A0A022RM77	1	131567
A0A7P0TAB0	GO:0005789;GO:0005524;GO:0004521;GO:0004674;GO:0030968;GO:0006468;GO:0010468;GO:0051171;GO:0080090;	A0A022RXM0	1	2759
A5YM46	GO:0005789;GO:0005524;GO:0004521;GO:0004674;GO:0030968;GO:0006397;GO:0006468;GO:0010468;GO:0051252;	A0A022RXM0	2	2759
A5YM65	GO:0005789;GO:0005524;GO:0004521;GO:0004674;GO:0030968;GO:0006397;GO:0006468;GO:0010468;GO:0051252;	A0A022RXM0	1	2759
E7ETG2	GO:0005789;GO:0005524;GO:0004521;GO:0004674;GO:0030968;GO:0006397;GO:0006468;GO:0010468;GO:0051252;	A0A022RXM0	1	2759
O75460	GO:1990597;GO:0005737;GO:0005783;GO:0005789;GO:0030176;GO:1990332;GO:1990630;GO:1990604;GO:0005739;GO:0005637;GO:0043531;GO:0005524;GO:0004521;GO:0019899;GO:0030544;GO:0051879;GO:0042802;GO:0000287;GO:0005161;GO:0042803;GO:0106310;GO:0004674;GO:0051082;GO:0071333;GO:0070301;GO:0034620;GO:0035924;GO:0001935;GO:1901142;GO:0070059;GO:0036498;GO:0006402;GO:0006379;GO:0098787;GO:0070054;GO:0036289;GO:1990579;GO:1900103;GO:0043507;GO:0033120;GO:1904707;GO:0046777;GO:0006468;GO:0016241;GO:0034976;	A0A022RXM0	1	2759
Q76MJ5	GO:0005829;GO:0005783;GO:0044322;GO:0016021;GO:1990604;GO:0005524;GO:0004519;GO:0004521;GO:0000287;GO:0106310;GO:0004674;GO:0051082;GO:0030263;GO:0070059;GO:0036498;GO:0006397;GO:0045892;GO:0043507;GO:0006468;GO:0034976;GO:0016075;	A0A022RXM0	1	2759
E5RJK5	GO:0008278;GO:0005634;GO:0007062;	A0A022S0U3	1	2759
E5RJW1	GO:0008278;GO:0005634;GO:0007062;	A0A022S0U3	1	2759
Q59FW9	GO:0005525;GO:0003924;	A0A022VRT9	1	131567
A0A0S2Z5L1	GO:0005524;	A0A022WG90	1	131567
B4DRU9	GO:0005524;	A0A022WG90	1	131567
Q9NUQ8	GO:0016020;GO:0005524;GO:0045296;GO:0051607;	A0A022WG90	2	131567
A8K0W0	GO:0005524;GO:0004674;GO:0006468;	A0A022Y1Y5	1	131567
B3KTK0	GO:0005524;GO:0004672;GO:0006468;	A0A022Y1Y5	1	131567
Q96NX5	GO:0005954;GO:0000139;GO:0043005;GO:0005886;GO:0005524;GO:0005516;GO:0004683;GO:0106310;GO:0018105;	A0A022Y1Y5	1	131567
D6RAC5	GO:0005634;GO:0003697;	A0A022Y6E1	1	716545
B4DH23	N/A	A0A022Y8D0	1	131567
H3BMJ3	N/A	A0A022Y8D0	1	131567
H3BQH9	GO:0005654;	A0A022Y8D0	1	131567
H3BRI3	N/A	A0A022Y8D0	1	131567
H3BUW3	GO:0005654;	A0A022Y8D0	1	131567
G3V4G1	N/A	A0A023AWW5	1	2759
Q96IE1	GO:0008622;GO:0051539;GO:0003677;GO:0003887;GO:0008270;GO:0006281;GO:0006260;	A0A023AZ09	1	2759
Q6AI14	GO:0016324;GO:0016323;GO:0031410;GO:0016021;GO:0005886;GO:0005774;GO:0015386;GO:0015385;GO:0001696;GO:0002068;GO:0006811;GO:0055075;GO:0071805;GO:0051453;GO:0009651;GO:0098719;	A0A023B4D4	1	131567
A8MXD5	GO:0060091;GO:0005902;GO:0032420;GO:0097573;GO:0042491;GO:0060119;GO:0060122;GO:0048563;GO:0007605;GO:0060118;	A0A023B5J6	1	2759
Q96S06	GO:0005789;GO:0016021;GO:0051604;GO:0006641;	A0A023BSK8	1	131567
Q9BU23	GO:0005789;GO:0016021;GO:0016020;GO:0051604;	A0A023BSK8	1	131567
B4DEE7	N/A	A0A023EH72	1	33213
B4DT78	N/A	A0A023EH72	1	33213
A8K513	GO:0005634;GO:0006397;GO:0008380;	A0A023FA68	1	2759
Q8WVK2	GO:0005654;GO:0005634;GO:0046540;GO:0003676;GO:0000398;	A0A023FA68	1	2759
A0A0A0MT65	GO:0005829;GO:0043231;GO:0005730;	A0A023FRV1	1	2759
B7Z1P1	GO:0016021;GO:0004222;GO:0006508;	A0A023FUT1	1	131567
B3KQN1	GO:0004559;GO:0030246;GO:0006013;	A0A023FV14	2	2759
O95202	GO:0016021;GO:0005743;GO:0005739;GO:0005509;GO:0015369;GO:0043022;GO:0099093;GO:0006875;GO:0042407;GO:0051560;GO:0006851;GO:0051562;GO:0034214;GO:0051260;GO:1900069;	A0A023FWY9	1	2759
A0A3B3IRW1	GO:0005576;GO:0004867;GO:0007596;	A0A023GD31	1	6072
A0A3B3ISY1	GO:0005576;GO:0004867;GO:0007596;	A0A023GD31	1	6072
F8W8C2	GO:0005912;GO:0005829;GO:0016021;GO:0005654;GO:0005886;GO:0017022;GO:0098609;	A0A023GD71	1	131567
Q9HBM0	GO:0001669;GO:0005912;GO:0005829;GO:0016021;GO:0005654;GO:0005886;GO:0002142;GO:0060171;GO:0017022;GO:0098609;	A0A023GD71	1	131567
A1A5B1	GO:0020037;GO:0005506;GO:0004497;GO:0016705;	A0A023GF15	1	131567
A9UF28	GO:0020037;GO:0005506;GO:0004497;GO:0016705;	A0A023GF15	1	131567
K7EQE7	GO:0016021;	A0A023GGB2	1	N/A
B4DZU5	GO:0005654;GO:0005669;GO:0046982;	A0A023GIH2	1	33213
Q8NE89	GO:0005576;GO:0004867;GO:0007596;	A0A023GMJ4	3	131567
A0A023HN28	N/A	A0A023HN28	3	N/A
Q5EXX1	GO:0008233;GO:0006508;	A0A023HN28	1	N/A
A0A023IP86	GO:0007229;	A0A023IP86	3	N/A
A0A023IP88	GO:0007229;	A0A023IP88	3	N/A
A0A023IQK0	GO:0007229;	A0A023IP88	1	N/A
A0A023IP90	GO:0007229;	A0A023IP90	3	N/A
A0A023IPA8	GO:0007229;	A0A023IPA8	3	N/A
A0A023IPA9	GO:0007229;	A0A023IPA9	3	N/A
A0A023IPD5	GO:0008305;GO:0038023;GO:0007160;GO:0007229;	A0A023IPD5	3	N/A
A0A023IPH2	GO:0007229;	A0A023IPH2	3	N/A
A0A023IP89	GO:0008305;GO:0038023;GO:0007160;GO:0007229;	A0A023IQJ1	1	N/A
A0A023IQJ1	GO:0008305;GO:0038023;GO:0007160;GO:0007229;	A0A023IQJ1	3	N/A
A0A023IQJ3	GO:0007229;	A0A023IQJ3	3	N/A
A0A023IQJ5	GO:0007229;	A0A023IQJ5	3	N/A
A0A023J7R6	GO:0016491;	A0A023J7R6	3	N/A
A0A023JC58	N/A	A0A023JC58	3	N/A
A0A1B0W143	GO:0016021;GO:0005743;GO:0070469;GO:0008137;GO:0042773;	A0A023NE07	3	N/A
A5WZG7	GO:0016021;GO:0005743;GO:0070469;GO:0008137;GO:0042773;	A0A023NE07	3	N/A
A5X013	GO:0016021;GO:0005743;GO:0070469;GO:0008137;GO:0042773;	A0A023NE07	3	N/A
A5X245	GO:0016021;GO:0005743;GO:0070469;GO:0008137;GO:0042773;	A0A023NE07	1	N/A
W8CSQ8	GO:0016021;GO:0005743;GO:0070469;GO:0008137;GO:0042773;	A0A023NE07	3	N/A
A0A023PPR2	N/A	A0A023PPR2	4	N/A
A0A023T3F1	GO:0004674;GO:0035556;	A0A023T3F1	3	N/A
A0A023T408	GO:0046872;GO:0004725;GO:0042471;GO:0035335;	A0A023T408	3	N/A
A0A023T2M3	GO:0046872;GO:0004725;GO:0042471;GO:0035335;	A0A023T4H3	1	N/A
A0A023T4H3	GO:0046872;GO:0004725;GO:0042471;GO:0035335;	A0A023T4H3	3	N/A
A0A2R8YF73	GO:0046872;GO:0004725;GO:0042471;GO:0035335;	A0A023T4H3	1	N/A
A0A023ZYH6	N/A	A0A023ZYH6	3	N/A
A0A024A2P5	N/A	A0A024A2P5	3	N/A
I2E4S9	GO:0005737;GO:0005634;GO:0003723;GO:0006397;	A0A024CEZ3	1	N/A
I2E4T2	GO:0005737;GO:0005634;GO:0003723;GO:0006397;	A0A024CEZ3	1	N/A
A0A024D9P8	GO:0008305;GO:0038023;GO:0007160;GO:0007229;	A0A024D9P8	3	N/A
A0A024DAS5	GO:0008305;GO:0038023;GO:0007160;GO:0007229;	A0A024DAS5	3	N/A
A0A891XJI0	GO:0008305;GO:0038023;GO:0007160;GO:0007229;	A0A024DAS5	3	N/A
A0A891XJM2	GO:0008305;GO:0038023;GO:0007160;GO:0007229;	A0A024DAS5	3	N/A
A0A024DAT2	GO:0008305;GO:0038023;GO:0007160;GO:0007229;	A0A024DAT2	3	N/A
A0A024DAE5	GO:0008305;GO:0038023;GO:0007160;GO:0007229;	A0A024DBF0	1	N/A
A0A024DAS2	GO:0008305;GO:0038023;GO:0007160;GO:0007229;	A0A024DBF0	1	N/A
A0A024DBF0	GO:0008305;GO:0038023;GO:0007160;GO:0007229;	A0A024DBF0	3	N/A
A0A891XIT7	GO:0008305;GO:0038023;GO:0007160;GO:0007229;	A0A024DBF0	1	N/A
A0A024DBF8	GO:0007229;	A0A024DBF8	3	N/A
A0A024DBG3	GO:0008305;GO:0038023;GO:0007160;GO:0007229;	A0A024DBG3	3	N/A
Q8TCS8	GO:0005737;GO:0005829;GO:0005789;GO:0045025;GO:0005758;GO:0005759;GO:0005739;GO:0005634;GO:0042788;GO:0000175;GO:0035198;GO:0034046;GO:0008266;GO:0004654;GO:0003723;GO:0035458;GO:0034599;GO:0097421;GO:0000958;GO:0097222;GO:0000965;GO:0000964;GO:0000957;GO:0070584;GO:0006402;GO:0045926;GO:0071042;GO:2000627;GO:0000962;GO:0061014;GO:0051260;GO:0070207;GO:0051726;GO:0043457;GO:2000772;GO:0051591;GO:0060416;GO:0006401;GO:0035927;GO:0043631;GO:0035928;	A0A024G5H3	1	131567
B4DM80	GO:0005635;GO:0015031;	A0A024G927	2	2759
A8K6N7	N/A	A0A024G955	1	2759
B3KPL0	N/A	A0A024G955	1	2759
E9PJK5	N/A	A0A024G955	1	2759
Q8N612	GO:0005829;GO:0070695;GO:0045022;GO:0007032;GO:0008333;GO:0007040;GO:1905719;GO:0015031;	A0A024G955	1	2759
Q6JQN1	GO:0005737;GO:0005759;GO:0005739;GO:0003995;GO:0050660;GO:0006635;GO:0033539;	A0A024GEH5	1	2759
F8VRV5	GO:0005737;GO:0030286;GO:0005874;GO:0007017;	A0A024GGF6	2	2759
H3BSQ5	GO:0003723;	A0A024GLB8	1	N/A
Q5QPN5	GO:0016787;	A0A024GM74	3	N/A
A0A024RC12	N/A	A0A024GSF6	1	2759
B2R9W4	N/A	A0A024GSF6	1	2759
B4DTE6	N/A	A0A024GSF6	1	2759
B4DWM5	N/A	A0A024GSF6	2	2759
P43355	GO:0005737;GO:0005634;GO:0005886;GO:0042826;GO:0045746;GO:0000122;	A0A024GSF6	1	2759
P43358	GO:0005634;GO:0042826;GO:0043066;GO:0000122;GO:0045787;	A0A024GSF6	1	2759
P43361	GO:0005634;GO:0042826;GO:0000122;	A0A024GSF6	1	2759
Q1RN33	N/A	A0A024GSF6	1	2759
Q3SYA6	N/A	A0A024GSF6	1	2759
B5MC59	GO:0031981;GO:0003677;GO:0006310;GO:0006281;GO:0006260;	A0A024GUZ3	1	2759
Q6ZSM3	GO:0016323;GO:0016021;GO:0005887;GO:0005886;GO:0005308;GO:0008028;GO:0015293;GO:0015881;GO:0015718;GO:0150104;	A0A024JWA9	1	131567
O95682	N/A	A0A024QG98	1	131567
A0A024QYT4	GO:0005524;	A0A024QYT4	4	N/A
A0A024QYU8	N/A	A0A024QYU8	2	117571
A0A024QYV0	N/A	A0A024QYV0	4	N/A
A0A024QYY8	N/A	A0A024QYY8	4	N/A
A0A024QYZ2	N/A	A0A024QYZ2	4	N/A
A0A024QYZ5	N/A	A0A024QYZ5	4	N/A
A0A024QZ41	GO:0016021;	A0A024QZ41	4	N/A
A0A024QZ43	N/A	A0A024QZ43	4	N/A
A0A024QZ54	N/A	A0A024QZ54	3	N/A
A0A024QZ58	GO:0016021;	A0A024QZ58	4	N/A
A0A024QZ82	N/A	A0A024QZ82	4	N/A
A0A024QZC6	N/A	A0A024QZC6	4	N/A
A0A024QZH2	GO:0016301;GO:0016310;	A0A024QZH2	4	N/A
A0A024QZH7	N/A	A0A024QZH7	4	N/A
A0A024QZK6	N/A	A0A024QZK6	4	N/A
A0A024QZP4	GO:0016021;	A0A024QZP4	4	N/A
A0A024QZL3	GO:0005581;	A0A024QZP5	1	33213
A0A024QZP5	GO:0005581;	A0A024QZP5	2	33213
A0A024QZV4	N/A	A0A024QZV4	4	N/A
A0A024QZV6	GO:0016021;	A0A024QZV6	3	N/A
A0A024QZW8	N/A	A0A024QZW8	4	N/A
A0A024QZZ9	N/A	A0A024QZZ9	4	N/A
A0A024R002	N/A	A0A024R002	4	N/A
A0A024R047	GO:0016021;GO:0008430;	A0A024R047	4	N/A
A0A024R054	GO:0005576;GO:0008430;	A0A024R054	4	N/A
A0A024R055	N/A	A0A024R055	4	N/A
A0A024R065	GO:0051301;	A0A024R065	3	N/A
A0A1B0H6K7	GO:0016301;GO:0016310;	A0A024R065	1	N/A
E9PFJ2	N/A	A0A024R065	1	N/A
A0A024R088	N/A	A0A024R088	3	N/A
A0A024R0A3	N/A	A0A024R0A3	4	N/A
A0A024R0B2	N/A	A0A024R0B2	4	N/A
A0A024R0D0	N/A	A0A024R0D0	4	N/A
A0A024R0E4	N/A	A0A024R0E4	4	N/A
A0A024R0G7	N/A	A0A024R0G7	3	N/A
A0A024R0I4	N/A	A0A024R0I4	2	131567
A0A024R0V7	N/A	A0A024R0V7	4	N/A
A0A024R0X6	N/A	A0A024R0X6	4	N/A
A0A024R0Z0	N/A	A0A024R0Z0	4	N/A
A0A024R0Z9	N/A	A0A024R0Z9	4	N/A
A0A024R112	N/A	A0A024R112	4	N/A
A0A024R132	N/A	A0A024R132	4	N/A
A0A024R140	GO:0016021;GO:0004984;GO:0007186;	A0A024R140	4	N/A
A0A024R170	GO:0005634;GO:0006334;	A0A024R170	4	N/A
A0A024R175	N/A	A0A024R175	4	N/A
A0A024R1B7	GO:0016021;	A0A024R1B7	3	N/A
A0A024R1I9	N/A	A0A024R1I9	4	N/A
A0A024R1R8	N/A	A0A024R1R8	4	N/A
A0A024R202	N/A	A0A024R202	4	N/A
A0A024R208	N/A	A0A024R208	3	N/A
Q9H4N3	N/A	A0A024R208	1	N/A
A0A024R213	N/A	A0A024R213	4	N/A
A0A024R290	N/A	A0A024R290	4	N/A
A0A024R2C6	N/A	A0A024R2C6	4	N/A
A0A024R2F1	N/A	A0A024R2F1	4	N/A
A0A024R2G4	N/A	A0A024R2G4	4	N/A
A0A024R2J6	N/A	A0A024R2J6	4	N/A
A0A024R2L7	N/A	A0A024R2L7	4	N/A
A0A024R2P6	GO:0016021;	A0A024R2P6	4	N/A
A0A024R2W0	N/A	A0A024R2W0	4	N/A
A0A024R2Y5	N/A	A0A024R2Y5	4	N/A
A0A024R334	N/A	A0A024R334	4	N/A
A0A024R354	N/A	A0A024R354	4	N/A
D3DUV0	N/A	A0A024R354	1	N/A
A0A024R358	N/A	A0A024R358	4	N/A
A0A024R391	N/A	A0A024R391	4	N/A
A0A024R3E6	N/A	A0A024R3E6	4	N/A
A0A024R3F3	N/A	A0A024R3F3	4	N/A
A0A024R3L0	N/A	A0A024R3L0	4	N/A
A0A024R3R4	N/A	A0A024R3R4	4	N/A
A0A024R3S6	N/A	A0A024R3S6	4	N/A
A0A024R3T0	N/A	A0A024R3T0	4	N/A
A0A024R3T9	N/A	A0A024R3T9	2	33213
A0A024R3V9	GO:0003676;	A0A024R3V9	4	N/A
A0A024R449	N/A	A0A024R449	3	N/A
A0A024R476	N/A	A0A024R476	4	N/A
A0A024R4A9	N/A	A0A024R4A9	4	N/A
A0A024R4B1	N/A	A0A024R4B1	4	N/A
A0A024R4C6	N/A	A0A024R4C6	2	2759
A0A024R4E0	GO:0016301;GO:0016310;	A0A024R4E0	3	N/A
A0A024R4G5	N/A	A0A024R4G5	3	N/A
A0A024R4J2	N/A	A0A024R4J2	4	N/A
A0A024R4M7	GO:0016021;	A0A024R4M7	2	33213
A0A024R4N1	N/A	A0A024R4N1	4	N/A
A0A024R4P5	N/A	A0A024R4P5	4	N/A
A0A024R4Q7	GO:0005887;	A0A024R4Q7	2	2759
A0A024R4Y9	N/A	A0A024R4Y9	4	N/A
A0A024R4Z2	N/A	A0A024R4Z2	4	N/A
A0A024R545	N/A	A0A024R545	4	N/A
A0A024R548	GO:0016021;	A0A024R548	4	N/A
A0A024R583	N/A	A0A024R583	4	N/A
A0A024R5B4	GO:0016021;	A0A024R5B4	4	N/A
A0A024R5M5	N/A	A0A024R5M5	4	N/A
A0A024R5P3	GO:0016021;	A0A024R5P3	2	1437010
A0A024R5Q2	N/A	A0A024R5Q2	4	N/A
A0A024R5Q9	N/A	A0A024R5Q9	4	N/A
A0A024R5R1	GO:0036128;	A0A024R5R1	3	N/A
A0A024R5S2	GO:0016021;	A0A024R5S2	4	N/A
Q8N7K6	GO:0016021;	A0A024R5S2	1	N/A
A0A024R5Z2	GO:0140662;	A0A024R5Z2	4	N/A
A0A024R605	N/A	A0A024R605	4	N/A
A0A024R639	GO:0016021;	A0A024R639	4	N/A
A0A024R647	N/A	A0A024R647	4	N/A
A0A024R673	N/A	A0A024R673	4	N/A
A0A024R678	N/A	A0A024R678	4	N/A
A0A024R6A1	N/A	A0A024R6A1	4	N/A
A0A024R6C7	N/A	A0A024R6C7	4	N/A
A0A024R6E9	N/A	A0A024R6E9	4	N/A
A0A024R6H2	N/A	A0A024R6H2	4	N/A
A0A024R6H6	N/A	A0A024R6H6	4	N/A
A0A024R6I5	N/A	A0A024R6I5	4	N/A
A0A024R6J5	N/A	A0A024R6J5	4	N/A
A0A024R6L9	N/A	A0A024R6J5	1	N/A
Q9NPH1	N/A	A0A024R6J5	1	N/A
Q9P2S1	N/A	A0A024R6J5	1	N/A
A0A024R6K4	N/A	A0A024R6K4	4	N/A
A0A024R6M4	N/A	A0A024R6M4	4	N/A
A0A024R6M5	N/A	A0A024R6M5	4	N/A
A0A024R6Q0	N/A	A0A024R6Q0	3	N/A
A0A024R6V0	GO:0016021;	A0A024R6V0	4	N/A
A0A024R6W1	N/A	A0A024R6W1	3	N/A
A0A024R741	N/A	A0A024R741	4	N/A
A0A024R754	N/A	A0A024R754	4	N/A
