defense_uniprot_ac	human_uniprot_ac	composite_score	foldseek_evalue	pymol_rmsd	tm_score_human	tm_score_bacteria	plddt_human	plddt_bacteria	human_gene_name
A0A243G9P1	H7C3V9	0.9485	2.251e-23	0.82	0.8046	0.5288	88.62	95.52	SCLY
A0A127M5U3	A0A7P0TAE1	0.9478	2.654e-23	1.23	0.7596	0.939	81.07	88.36	HSP90B1
L0L0B2	M0QZS6	0.9477	0.0	1.28	0.6553	0.7132	93.41	96.22	SAE1
A0A3E3EC96	Q14240	0.9472	7.607e-31	1.08	0.8746	0.67	86.36	85.92	EIF4A2
A0A127M5U3	H0YIV0	0.9469	2.654e-23	1.28	0.7527	0.9384	81.73	88.36	HSP90B1
A0A127M5U3	Q5CAQ5	0.9466	2.654e-23	1.26	0.7479	0.9393	81.02	88.36	TRA1
A0A127M5U3	P14625	0.9463	2.654e-23	1.3	0.7452	0.9368	82.22	88.36	HSP90B1
A0A127M5U3	A0A7P0T917	0.9463	2.654e-23	1.45	0.8068	0.911	84.36	88.36	HSP90B1
A0A3E3EC96	A8K7F6	0.9462	7.607e-31	1.12	0.8753	0.6691	86.06	85.92	
A0A127M5U3	V9HWP2	0.9461	2.654e-23	1.27	0.7465	0.9387	80.8	88.36	HEL-S-125m
A0A127M5U3	A0A087WT78	0.9457	2.654e-23	1.14	0.7459	0.8792	80.69	88.36	HSP90B1
A0A127M5U3	A0A7P0TAY2	0.9457	2.654e-23	1.09	0.7893	0.8218	80.18	88.36	HSP90B1
A0A7G1Q9R2	Q96HX7	0.9456	1.52e-34	0.87	0.8602	0.5633	86.85	85.77	HSP90AA1
A0A3E3EC96	A8K088	0.9454	7.607e-31	1.14	0.8752	0.6691	85.54	85.92	
A0A2T3FW44	E7EQG2	0.9453	2.532e-23	0.87	0.8743	0.6055	85.18	86.09	EIF4A2
A0A127M5U3	A0A7P0T823	0.9451	2.654e-23	1.27	0.7379	0.9393	79.97	88.36	HSP90B1
A0A127M5U3	A0A7P0TAT8	0.9449	2.654e-23	1.27	0.737	0.9391	79.84	88.36	HSP90B1
A0A3E3EC96	Q68DY7	0.9447	4.056e-28	1.05	0.8914	0.5568	89.09	85.92	DKFZp686C21137
L0L0B2	F8W8D4	0.9447	4.579e-20	0.91	0.4772	0.8082	91.63	96.22	UBA3
A0A243G9P1	B4DVB4	0.9446	8.392e-22	0.91	0.6945	0.6551	85.76	95.52	
A0A3E3EC96	A0A7P0TB94	0.9445	6.585e-34	1.11	0.8364	0.6659	86.06	85.92	DDX20
A0A127M5U3	Q8TBA7	0.9445	0.0	1.45	0.8147	0.8197	84.42	88.36	HSP90AA1
A0A3E3EC96	Q9H4E3	0.9439	4.649e-36	1.03	0.7948	0.6794	84.88	85.92	E4-DBP
A0A3E3EC96	A0A384NYS3	0.9439	4.181e-32	1.27	0.8951	0.6263	88.57	85.92	
A0A2A4FVR0	E5RG17	0.9434	0.0	1.6	0.6672	0.843	88.32	96.25	TATDN1
A0A3G9JPH8	Q9H0S4	0.9429	2.532e-23	1.1	0.7962	0.6971	85.63	87.29	DDX47
A0A3E3EC96	P38919	0.9426	7.607e-31	1.31	0.8522	0.6612	88.62	85.92	EIF4A3
A0A127M5U3	K0A7K7	0.9423	8.482e-27	1.71	0.8274	0.8791	86.97	88.36	TRAP1
A0A6A9GWD9	B3KQK2	0.9419	9.191e-33	1.6	0.8238	0.7829	86.56	89.93	
A0A3E3EC96	Q53GJ1	0.9418	2.532e-23	1.07	0.8061	0.6789	85.27	85.92	
A0A562WL79	C9JNE2	0.9418	0.0	1.14	0.818	0.6392	84.12	87.79	OARD1
A0A075TXM8	A0A0U1U562	0.9416	0.0	1.01	0.628	0.7485	81.56	92.03	Dnmt2
B0N6M2	B4DL69	0.9411	4.056e-28	1.2	0.8892	0.5559	88.6	85.91	
A0A3E3EC96	B4DVE4	0.941	5.239e-24	1.19	0.8589	0.6664	84.42	85.92	
A0A3E3EC96	Q8TEC9	0.941	5.239e-24	1.12	0.8714	0.5828	87.2	85.92	
L0L0B2	E7EQ61	0.9405	1.203e-15	1.08	0.5908	0.898	87.81	96.22	UBA5
A0A544BPX2	O43598	0.9402	0.0	0.65	0.5921	0.6185	85.38	89.22	DNPH1
A0A3E3EC96	I3L3H2	0.94	7.607e-31	1.11	0.8424	0.6205	82.97	85.92	EIF4A3
A0A127M5U3	Q53G55	0.9396	8.482e-27	1.69	0.7953	0.878	84.83	88.36	
A0A250I871	Q6PK50	0.9396	6.98e-27	0.54	0.8005	0.4444	82.75	87.8	HSP90AB1
B0N6M2	Q69YM2	0.9394	7.099e-20	1.23	0.8958	0.6113	88.68	85.91	DKFZp762C1313
A0A250I871	Q14568	0.9394	6.98e-27	0.5	0.7928	0.4292	83.25	87.8	HSP90AA2P
A0A127M5U3	A0A140VJY2	0.9394	8.482e-27	1.7	0.7944	0.877	85.08	88.36	
A0A3E3EC96	A0A024RCM3	0.9393	4.181e-32	1.27	0.8215	0.6621	84.93	85.92	
A0A3E3EC96	B2R858	0.9387	7.607e-31	1.04	0.7561	0.6691	81.9	85.92	
A0A127M5U3	Q59EK6	0.9383	8.482e-27	1.74	0.7956	0.8771	84.97	88.36	
A0A2T3FW44	A0A7I2V5F5	0.9376	3.113e-28	1.0	0.8474	0.569	80.31	86.09	DDX5
A0A127M5U3	Q9BV61	0.9374	8.482e-27	1.78	0.7991	0.8762	85.13	88.36	TRAP1
L0L0B2	J3KRK3	0.9372	1.004e-14	1.3	0.8769	0.6029	94.2	96.22	NAE1
A0A127M5U3	Q12931	0.9371	8.482e-27	1.81	0.7949	0.8774	86.02	88.36	TRAP1
L0L0B2	Q9GZZ9	0.937	1.203e-15	1.12	0.5531	0.8977	86.74	96.22	UBA5
A0A3E3EC96	Q13838	0.9369	4.181e-32	1.36	0.8181	0.6598	84.81	85.92	DDX39B
A0A127M5U3	Q53FS6	0.9366	8.482e-27	1.8	0.7938	0.8762	85.11	88.36	
A0A3E3EC96	P26196	0.9366	7.607e-31	1.17	0.7364	0.6667	84.09	85.92	DDX6
L0L0B2	Q13564	0.9362	7.198e-18	1.33	0.4082	0.8691	96.23	96.22	NAE1
B0N6M2	Q59FQ9	0.9359	4.056e-28	0.96	0.8506	0.5112	80.92	85.91	
A0A3E3EC96	J3KT12	0.9347	4.094e-21	1.15	0.8564	0.5539	84.94	85.92	EIF4A1
A0A250I871	Q86U12	0.9342	5.694e-22	1.19	0.8291	0.5396	85.37	87.8	
A0A250I871	A8K3W9	0.9338	8.221e-29	1.27	0.8461	0.4834	86.5	87.8	
A0A6A9GWD9	J3KTQ2	0.9338	9.191e-33	1.88	0.7675	0.8005	88.65	89.93	RECQL5
A0A127M5U3	Q58FF6	0.9338	2.114e-29	1.49	0.8488	0.6821	79.17	88.36	HSP90AB4P
A0A411PGA5	F6QUN3	0.9335	0.0	1.09	0.6656	0.5878	82.75	90.32	ERI3
W0L967	Q99540	0.9329	4.85e-38	1.14	0.7365	0.5059	89.86	84.55	
A0A3E3EC96	O00148	0.9329	4.181e-32	1.53	0.8154	0.6567	85.27	85.92	DDX39A
B0N6M2	A0A7I2V507	0.9328	6.585e-34	1.13	0.7114	0.5452	87.38	85.91	DDX5
A0A1X9SXD5	B7Z1Y7	0.9327	0.0	0.58	0.5818	0.5258	78.68	91.27	
A0A454C9T2	B4DQZ2	0.9327	0.0	0.49	0.5442	0.5217	75.33	95.65	
B0N6M2	Q7Z2V5	0.932	6.585e-34	1.16	0.7118	0.5455	87.07	85.91	DKFZp686J01190
A0A127M5U3	Q8N9Z3	0.9317	9.981e-31	1.57	0.7657	0.7032	82.87	88.36	
A0A127PUL6	A0A140CZL6	0.9317	2.459e-29	1.19	0.698	0.4117	93.44	90.31	MTAP-ANRIL fusion
A0A2T3FW44	B4DZQ7	0.9314	4.094e-21	1.11	0.7365	0.5917	84.75	86.09	
B0N6M2	A0A7I2V2S0	0.9313	6.585e-34	1.2	0.7133	0.5599	86.25	85.91	DDX5
A0A250I871	Q9H6X9	0.9311	8.221e-29	1.38	0.8401	0.4813	86.67	87.8	
A0A2N3Y6Y3	V9HW24	0.931	3.091e-30	1.58	0.6065	0.757	88.12	89.73	HEL-S-73
A0A3E3EC96	B4DS24	0.9307	7.607e-31	1.1	0.741	0.6241	76.78	85.92	
A0A7G1Q9R2	O75322	0.9305	5.794e-19	0.99	0.768	0.6399	78.75	85.77	
B0N6M2	I3L0H8	0.9305	7.607e-31	1.11	0.7408	0.6239	76.78	85.91	DDX19A
A0A1W6MZ85	B0ZBF1	0.9302	2.215e-21	1.04	0.8331	0.4117	84.77	87.99	NPR1
Z9JIC9	H7BZJ2	0.9291	2.995e-12	1.21	0.8413	0.6284	97.07	96.65	TATDN2
A0A3E3EC96	Q8NHQ9	0.9288	1.741e-30	1.23	0.5985	0.669	84.4	85.92	DDX55
A0A3E3EC96	B4DX78	0.9287	4.181e-32	1.38	0.7492	0.6611	79.0	85.92	
L0L0B2	A0A804HJ86	0.9286	1.203e-15	1.11	0.4875	0.898	79.53	96.22	UBA5
A0A2T3FW44	Q92499	0.9284	1.547e-28	1.07	0.4865	0.6771	86.63	86.09	DDX1
A0A3G9JPH8	Q4ZG72	0.9281	9.569e-31	1.28	0.6627	0.6921	77.69	87.29	DDX18
A0A3E3EC96	Q9Y6V7	0.9279	1.361e-16	1.21	0.7438	0.6741	86.21	85.92	DDX49
A0A2N3Y6Y3	P62333	0.9279	3.091e-30	1.68	0.6096	0.7613	86.88	89.73	PSMC6
A0A3E3EC96	Q9NZE6	0.9277	5.353e-27	1.49	0.8962	0.5347	80.72	85.92	EIF4A2
A0A2T3FW44	B4DNH2	0.9269	1.03e-16	1.01	0.9097	0.4083	85.54	86.09	
A0A3G9JPH8	Q9NVY6	0.9269	3.313e-23	1.45	0.8392	0.4345	89.21	87.29	
A0A1B1YDD2	Q8N2A8	0.9266	8.963e-18	1.33	0.4935	0.7887	83.48	96.05	PLD6
A0A3E3EC96	A0A2R8YDT5	0.9265	4.649e-36	1.41	0.7171	0.6396	80.34	85.92	DDX3X
A0A3G9JPH8	A4UCU0	0.9259	1.562e-14	0.74	0.8938	0.3196	92.52	87.29	
A0A0X3BIU8	P46063	0.9259	1.259e-44	1.12	0.6535	0.575	86.14	79.36	RECQL
A0A3G9JPH8	Q9NXZ2	0.9259	2.698e-31	1.13	0.5449	0.6722	79.7	87.29	DDX43
A0A0E3QWB4	A0A0S2Z5Q3	0.9258	2.245e-16	0.42	0.6616	0.4001	95.07	80.53	SUMF2
A0A3E3EC96	B4DED6	0.9257	1.214e-18	1.18	0.6554	0.7805	75.99	85.92	
A0A1D9PCU6	Q53EY2	0.9255	1.058e-24	1.0	0.4671	0.4788	91.73	91.14	
A0A127M5U3	Q5CAQ4	0.9247	5.794e-19	1.98	0.8579	0.682	91.86	88.36	TRAP1
A0A7X6BDL8	A0A0D9SGD3	0.9246	2.995e-12	1.35	0.7508	0.7287	94.45	96.7	TATDN1
A0A3E3EC96	A0A384N652	0.9243	1.741e-30	1.3	0.5977	0.668	80.6	85.92	
A0A2T3FW44	B2R988	0.924	2.698e-31	1.07	0.5439	0.6647	77.29	86.09	
A0A2T3FW44	B3KM65	0.924	0.0	1.66	0.7575	0.6015	84.78	86.09	
A0A2T3FW44	Q9NUL7	0.9237	6.263e-28	1.45	0.6346	0.6496	83.39	86.09	DDX28
L0L0B2	Q9UBE0	0.9234	9.099e-14	1.64	0.6201	0.8671	91.45	96.22	SAE1
A0A127M5U3	I3L0K7	0.9234	5.794e-19	2.01	0.8553	0.6803	91.66	88.36	TRAP1
A0A250I871	B4DHT9	0.9233	1.493e-20	1.69	0.8002	0.5893	86.92	87.8	
E4U6D7	I3L381	0.9229	1.636e-19	0.66	0.4516	0.5345	80.96	92.99	PLD2
A0A2T3FW44	P17844	0.9229	4.649e-36	1.15	0.5709	0.6617	76.08	86.09	DDX5
A0A3G9JPH8	A0A7P0Z4I9	0.9229	2.579e-23	0.9	0.7131	0.3875	80.21	87.29	DDX20
A0A3G9JPH8	F8WDT8	0.9222	1.187e-13	0.63	0.8837	0.321	90.75	87.29	DDX56
A0A378V089	Q4ZG77	0.9221	0.0	1.53	0.6798	0.5973	83.71	85.61	PSMD14
C4L4E2	Q16719	0.9221	0.0	2.37	0.6612	0.8117	95.43	95.2	KYNU
A0A7G1Q9R2	B4DU71	0.9218	5.794e-19	1.26	0.723	0.6171	78.85	85.77	
A0A2T4MZ46	Q5T2N8	0.9215	5.953e-21	1.55	0.5456	0.7323	83.68	90.76	ATAD3C
A0A858SQA6	Q8NBP7	0.9215	2.38e-24	1.12	0.4677	0.5909	85.16	88.19	PCSK9
A0A3M8ANJ8	A8K7T0	0.9214	0.0	2.38	0.6632	0.8079	95.38	94.99	KYNU
B0N6M2	B4DW97	0.9214	6.908e-39	1.43	0.5991	0.784	72.34	85.91	
A0A3G9JPH8	Q9NVP1	0.9211	1.198e-35	1.17	0.5446	0.6938	72.66	87.29	DDX18
A0A0E3QWB4	Q8NBK3	0.921	2.286e-22	0.6	0.5625	0.4629	83.54	80.53	SUMF1
A0A3E3EC96	A8K7A1	0.9207	1.361e-16	1.44	0.7447	0.6752	83.32	85.92	
A0A3G9JPH8	Q8N254	0.9204	9.191e-33	1.44	0.6835	0.5397	80.82	87.29	
A0A3E3EC96	Q9BQ39	0.9202	6.908e-39	1.45	0.5774	0.7819	72.88	85.92	DDX50
A0A250I871	Q58FF3	0.9201	1.493e-20	1.53	0.8073	0.5123	81.81	87.8	HSP90B2P
A0A0E3QWB4	Q8NBJ7	0.9201	2.245e-16	0.44	0.6102	0.4071	90.81	80.53	SUMF2
A0A3G9JPH8	A0A2R8Y7T2	0.9201	4.649e-36	1.66	0.6999	0.6411	79.76	87.29	DDX3X
L0L0B2	A0A590UK93	0.92	3.147e-15	1.61	0.717	0.6292	87.65	96.22	SAE1
A0A0E3QWB4	A0A384ME15	0.9199	2.245e-16	0.41	0.6108	0.4077	89.99	80.53	SUMF2
A0A3E3EC96	F6WLT2	0.9199	8.02e-16	0.77	0.745	0.4147	84.31	85.92	DDX39B
A0A2T3FW44	B4DN41	0.9199	4.649e-36	1.24	0.578	0.658	74.33	86.09	
A0A6B8MU63	B2RCY4	0.9196	8.37e-23	2.52	0.7566	0.7896	98.28	95.13	
A0A109W5Q4	I6L9E3	0.9193	8.389e-19	1.07	0.476	0.7435	81.96	82.46	METTL4
A0A3G9JPH8	A0A7P0TBA6	0.9192	2.579e-23	0.89	0.6776	0.3874	77.4	87.29	DDX20
A0A858SQA6	A0A669KBG0	0.9191	2.38e-24	1.17	0.4891	0.5143	86.98	88.19	PCSK9
A0A0E3QWB4	B4DLK7	0.919	2.245e-16	0.4	0.6382	0.4061	86.8	80.53	
A0A2T3FW44	Q59E92	0.919	4.134e-20	1.11	0.633	0.5516	79.17	86.09	
A0A3E3EC96	Q53HI2	0.9188	2.698e-31	1.29	0.5641	0.6524	76.04	85.92	
L0L0B2	B3KSS1	0.9188	1.674e-13	1.01	0.2773	0.8626	91.26	96.22	
A0A2C9CA92	V9H0E4	0.9184	2.052e-18	1.8	0.5836	0.7659	86.74	91.75	NAG13
A0A2T3FW44	Q5T1V6	0.9181	2.698e-31	1.37	0.5632	0.6572	77.16	86.09	DDX59
A0A060HNJ0	B4DY67	0.9181	1.425e-18	1.83	0.758	0.4995	93.99	91.06	
Q6AKU3	Q9H777	0.9181	1.058e-24	1.46	0.5333	0.5506	91.74	85.14	ELAC1
A0A3E3EC96	O00571	0.918	1.888e-23	1.05	0.5368	0.6602	72.2	85.92	DDX3X
A0A7M2Y6J8	H7C3Q6	0.9179	2.466e-18	0.65	0.6487	0.2212	91.18	85.92	MITD1
A0A2T3FW44	B5BUE6	0.9179	4.649e-36	1.34	0.566	0.6555	75.5	86.09	DDX5
A0A2T3FW44	J3KTA4	0.9178	4.649e-36	1.35	0.5659	0.6553	75.76	86.09	DDX5
A0A3E3EC96	B3KRK2	0.9173	2.698e-31	1.8	0.6928	0.6445	83.08	85.92	DDX41
A0A3G9JW78	Q9NXV9	0.9173	1.425e-18	1.42	0.7227	0.3906	90.71	88.64	
A0A2T3FW44	A0A087WZ71	0.9167	1.547e-28	1.23	0.4531	0.5532	85.87	86.09	DDX1
A0A2T3FW44	A0A7I2V430	0.9167	1.547e-28	1.22	0.4501	0.5893	83.38	86.09	DDX1
A0A3E3EC96	A0A3B3ISR7	0.9165	2.27e-33	1.34	0.5331	0.6719	75.09	85.92	DDX10
A0A822VZF9	B7Z302	0.9165	1.539e-21	1.45	0.7848	0.3219	94.64	80.58	
A0A2T3FW44	A0A0G2JLI4	0.9161	6.984e-20	1.39	0.6553	0.6338	76.67	86.09	DDX5
A0A7D5LBC8	J3KPQ8	0.916	2.006e-19	1.41	0.4127	0.6838	83.38	93.51	GUCY1A1
D7AX54	E5RFR2	0.916	0.0	1.71	0.6579	0.5499	80.52	91.57	ADCY8
A0A250I871	Q58FF2	0.916	6.229e-38	1.38	0.7163	0.5126	71.99	87.8	GRP94c
A0A3A6U268	P21549	0.916	8.37e-23	2.61	0.7563	0.7893	98.28	95.22	AGXT
A0A2T3FW44	A0A7I2V4F0	0.9158	1.547e-28	1.49	0.4766	0.6555	84.17	86.09	DDX1
B0N6M2	Q96GQ7	0.9158	1.198e-35	1.15	0.4779	0.676	72.02	85.91	DDX27
A0A3G9JPH8	J3QKZ9	0.9156	1.035e-12	0.84	0.9309	0.2485	94.65	87.29	EIF4A1
A0A0E3QWB4	J3KQJ1	0.9155	2.245e-16	0.41	0.576	0.4075	86.48	80.53	SUMF2
A0A123SU34	B7ZA00	0.9155	7.12e-18	1.3	0.7254	0.3574	96.1	80.85	
A0A2T3FW44	A0A087X2G1	0.9154	1.547e-28	1.2	0.4604	0.5518	82.81	86.09	DDX1
A0A7I7TXH2	A0A087X2I1	0.9153	3.091e-30	1.82	0.5736	0.7205	81.77	88.38	PSMC6
A0A7M2Y6J8	Q8WV92	0.9153	2.466e-18	0.69	0.6	0.2198	91.91	85.92	MITD1
A0A822VZF9	B1APF9	0.9149	2.836e-16	1.15	0.7805	0.3026	95.87	80.58	PRKACB
A0A0E3QWB4	C9JL30	0.9149	2.245e-16	0.4	0.5902	0.3608	87.63	80.53	SUMF2
I7KYR4	Q6ZMF9	0.9149	1.493e-19	1.34	0.7418	0.2699	89.28	89.42	
A0A7I7QV77	Q75L23	0.9147	3.091e-30	1.83	0.5724	0.7302	81.59	87.59	PSMC2
A0A1V0RVH9	B4DJF7	0.9147	2.489e-48	0.96	0.4242	0.5613	83.06	79.53	
A0A0E3QWB4	H7C3B2	0.9146	2.245e-16	0.42	0.5826	0.3933	85.92	80.53	SUMF2
A0A3E3EC96	Q69YT6	0.9144	2.276e-15	0.85	0.8491	0.3032	81.22	85.92	DKFZp547B159
A0A7I7TXH2	P43686	0.9143	8.203e-24	1.72	0.5537	0.7214	80.11	88.38	PSMC4
A0A3G9JPH8	H7C452	0.9143	1.68e-26	1.66	0.8636	0.3775	80.06	87.29	DDX18
A0A2T3FW44	A0A2R8YF78	0.9142	1.888e-23	1.26	0.5471	0.6614	71.88	86.09	DDX3X
A0A239XXN8	E5RGF2	0.9141	5.571e-13	1.68	0.7135	0.6254	94.54	97.25	TATDN1
A0A3E3EC96	Q6ZND7	0.9141	1.888e-23	1.53	0.6461	0.638	75.23	85.92	
A0A3G6U2V9	A0A140VJS3	0.9136	3.091e-30	1.94	0.5623	0.7553	81.08	89.92	
Q0BEA0	Q9UF30	0.9136	8.491e-18	1.77	0.6552	0.5905	88.91	90.44	DKFZp434E0418
A0A2T3FW44	Q9Y2R4	0.9136	2.698e-31	1.53	0.5704	0.6448	76.58	86.09	DDX52
A0A2T7WAL3	O95352	0.9135	2.889e-18	1.08	0.3644	0.5747	87.62	89.23	ATG7
A0A7I7TXH2	A8K2M0	0.9135	8.203e-24	1.71	0.5517	0.7179	79.01	88.38	PSMC4
A0A3E3EC96	Q9NR30	0.9135	6.908e-39	1.58	0.5412	0.7769	71.05	85.92	DDX21
A0A7Z2ZN36	H7C1A6	0.9134	3.023e-18	1.57	0.5786	0.688	74.62	94.92	ADCY3
A0A2T3FW44	A0A2R8Y5G6	0.9133	1.888e-23	1.35	0.5622	0.6598	72.55	86.09	DDX3X
A0A075UL76	A2V838	0.9131	8.37e-23	2.66	0.7614	0.7776	98.29	94.57	AGXT
A0A3E3EC96	J3QS69	0.9131	1.658e-12	1.03	0.8544	0.4862	88.22	85.92	EIF4A1
A0A3E3EC96	K0J110	0.9129	1.214e-18	1.35	0.577	0.7767	69.31	85.92	mcdrh
A0A7U9HC83	A0A7P0T9U2	0.9127	7.094e-27	1.78	0.6332	0.6186	77.85	90.89	ATAD1
A0A3E3EC96	Q92841	0.9127	2.541e-29	1.28	0.4964	0.6674	71.5	85.92	DDX17
A0A0N9EI48	O14657	0.9127	0.0	1.8	0.5912	0.5512	85.12	90.35	TOR1B
A0A1Q2CWK5	Q59F68	0.9127	0.0	2.24	0.7068	0.829	78.31	89.43	
A0A2T7WAL3	B2RB57	0.9126	2.889e-18	1.04	0.3541	0.5604	86.93	89.23	
A0A3M8ANJ8	Q9BXA1	0.9124	2.696e-20	2.7	0.8094	0.7817	98.28	94.99	
A0A858SQA6	Q59H85	0.9123	4.191e-22	1.24	0.419	0.5535	83.53	88.19	
A0A2T7WAL3	B3KQM6	0.9123	2.889e-18	1.02	0.3544	0.5606	86.03	89.23	
A0A2T3FW44	Q86VR6	0.9123	2.27e-33	1.33	0.4856	0.6788	71.72	86.09	DDX10
A0A3G9JPH8	F1T0B3	0.9123	1.547e-28	1.43	0.4413	0.5518	85.58	87.29	DDX1
A0A1W6MZ85	C9J1J0	0.9123	1.058e-18	1.14	0.6823	0.4379	75.87	87.99	ADCY1
A0A116MDM6	P22694	0.9122	7.12e-18	1.26	0.6549	0.3577	95.2	80.78	PRKACB
A0A4U8Z3X5	P62195	0.9122	3.091e-30	1.99	0.5831	0.7548	82.15	87.67	PSMC5
A0A123SU34	P17612	0.9118	7.12e-18	1.29	0.6539	0.3574	95.53	80.85	PRKACA
L0L0B2	P41226	0.9118	9.796e-13	0.94	0.2212	0.8651	89.14	96.22	UBA7
A0A123SU34	B2RB89	0.9117	7.12e-18	1.27	0.6545	0.3576	94.78	80.85	PRKACB
L0L0B2	A0AVT1	0.9116	9.796e-13	1.02	0.2131	0.8632	91.42	96.22	UBA6
A0A2T3FW44	A0A2R8YFR4	0.9115	1.888e-23	1.29	0.5314	0.6608	70.29	86.09	DDX3X
A0A3G6K670	X6RI15	0.9115	4.231e-20	0.9	0.8702	0.1149	86.28	76.92	TTF2
A0A116MDM6	P22612	0.9114	7.12e-18	1.28	0.6554	0.3579	94.65	80.78	PRKACG
A0A3G9JPH8	H3BMQ5	0.9114	2.098e-22	1.07	0.5986	0.2757	84.86	87.29	DDX19B
A0A367MH91	B3KV92	0.9114	8.445e-18	1.64	0.7041	0.5722	86.23	83.5	FLJ31952
A0A2T3FW44	A0A0D9SFB3	0.9113	1.888e-23	1.38	0.5468	0.6598	71.72	86.09	DDX3X
A0A858SQA6	Q16549	0.9113	4.191e-22	1.2	0.3963	0.565	81.79	88.19	PCSK7
A0A250IWT1	P61964	0.9111	7.09e-22	1.02	0.8521	0.3885	93.34	53.22	WDR5
A0A448L463	C9JF76	0.9111	1.225e-17	1.41	0.7056	0.279	95.05	86.52	PMS1
A0A0K1P5Q4	Q5I6N7	0.911	3.788e-14	1.53	0.6282	0.6865	85.53	91.06	CFTR
A0A3G6K670	Q8N6J1	0.911	8.311e-24	1.02	0.693	0.4071	77.31	76.92	BTAF1
A0A2T3FW44	A3RJH1	0.911	1.547e-28	1.7	0.4807	0.6671	83.87	86.09	DDX1
A0A116MDM6	A0A087WVC4	0.9109	7.12e-18	1.28	0.678	0.3576	92.57	80.78	PRKACB
A0A4D7JUH4	B7ZB23	0.9109	1.38e-23	1.75	0.5949	0.5457	85.49	88.62	
A0A2T3FW44	A0A0D9SG12	0.9109	1.888e-23	1.38	0.541	0.6597	71.58	86.09	DDX3X
Q2SG57	A0A590UJ12	0.9108	6.433e-38	1.17	0.643	0.4548	79.52	76.0	ERCC6L2
