accession_in_sys	type	subtype	species	sys_id	sys_beg	sys_end	duplicate_count	rank	defense_system_protein_id	defense_system_cluster_id	cluster_id	protein_id	evalue	cluFlag	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue_foldseek	bits	Reviewed	Entry Name	Protein names	Gene Names	Organism	Gene Names (ordered locus)	Gene Names (ORF)	Gene Names (primary)	Gene Names (synonym)	Proteomes	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	CDD	FunFam	Gene3D	InterPro	PANTHER	Pfam	PROSITE	SMART	RefSeq	Query_range	Query_length	Human_prot_total_length	Human_prot_domain_match	Human_domain_percentage	Query_percentage	Query_overlap_w_Human_protein	Human_domain_note	Human_domain_evidence	Target_range	Target_length	Bacterial_prot_total_length	Bacterial_prot_domain_match	Bacterial_domain_percentage	Target_percentage	Target_overlap_w_Bacterial_protein	Bacterial_domain_note	Bacterial_domain_evidence	Bacterial_Human_Len_Ratio	Query_Target_Overlap_Length	Overlap_ratio
WP_142775046.1	GasderMIN	GasderMIN	Spirosoma sp. KCTC 42546	GCF_006965485_NZ_CP041360_GasderMIN_1	GCF_006965485.1_NZ_CP041360_05397	GCF_006965485.1_NZ_CP041360_05397	1	202	A0A515A5B6	A0A2V2RJT9	A0A811ZZM7	A4FTY0	0.00002422	1	0.097	250	217	0	2	251	12	252	0.00001245	128	unreviewed	A4FTY0_HUMAN	"Deafness, autosomal dominant 5"	DFNA5	Homo sapiens (Human)			DFNA5			programmed cell death [GO:0012501]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; programmed cell death [GO:0012501]		GO:0005737; GO:0005886; GO:0012501				"IPR040460; Gasdermin_pore.;""IPR041263; Gasdermin_PUB."";""IPR042377; GSDME."";"	"PTHR15207:SF1; GASDERMIN-E; 1.;""PTHR15207; NONSYNDROMIC HEARING IMPAIRMENT PROTEIN; 1."";"	"PF04598; Gasdermin; 1.;""PF17708; Gasdermin_C; 1."";"				2.0..251.0	250	496	1..246	99.59	98.00	50.40	['Gasdermin pore forming']	['ECO:0000259|Pfam:PF04598']	12.0..252.0	241	269							0.54233871	241	0.895910781
WP_142775046.1	GasderMIN	GasderMIN	Spirosoma sp. KCTC 42546	GCF_006965485_NZ_CP041360_GasderMIN_1	GCF_006965485.1_NZ_CP041360_05397	GCF_006965485.1_NZ_CP041360_05397	1	202	A0A515A5B6	A0A2V2RJT9	A0A811ZZM7	A8K410	0.00002422	1	0.095	256	221	0	2	257	12	256	0.00008018	105	unreviewed	A8K410_HUMAN	"cDNA FLJ78210, highly similar to Homo sapiens nonsyndromic hearing impairment protein (DFNA5) mRNA"		Homo sapiens (Human)						programmed cell death [GO:0012501]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; programmed cell death [GO:0012501]		GO:0005737; GO:0005886; GO:0012501				"IPR040460; Gasdermin_pore.;""IPR041263; Gasdermin_PUB."";""IPR042377; GSDME."";"	"PTHR15207:SF1; GASDERMIN-E; 1.;""PTHR15207; NONSYNDROMIC HEARING IMPAIRMENT PROTEIN; 1."";"	"PF04598; Gasdermin; 1.;""PF17708; Gasdermin_C; 1."";"				2.0..257.0	256	496	1..246	99.59	95.70	51.61	['Gasdermin pore forming']	['ECO:0000259|Pfam:PF04598']	12.0..256.0	245	269							0.54233871	245	0.910780669
WP_142775046.1	GasderMIN	GasderMIN	Spirosoma sp. KCTC 42546	GCF_006965485_NZ_CP041360_GasderMIN_1	GCF_006965485.1_NZ_CP041360_05397	GCF_006965485.1_NZ_CP041360_05397	1	202	A0A515A5B6	A0A2V2RJT9	A0A811ZZM7	G3V1A6	0.00002422	1	0.109	257	228	0	52	308	11	267	0.00001139	111	unreviewed	G3V1A6_HUMAN	Gasdermin D	GSDMD GSDMDC1 hCG_32063	Homo sapiens (Human)		hCG_32063	GSDMD	GSDMDC1	UP000005640: Chromosome 8	programmed cell death [GO:0012501]	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; programmed cell death [GO:0012501]		GO:0005654; GO:0005737; GO:0005886; GO:0012501				"IPR007677; Gasdermin.;""IPR040460; Gasdermin_pore."";""IPR041263; Gasdermin_PUB."";"	"PTHR16399; GASDERMIN; 1.;""PTHR16399:SF15; GASDERMIN-D; 1."";"	"PF04598; Gasdermin; 1.;""PF17708; Gasdermin_C; 1."";"				52.0..308.0	257	532	52..290	100.00	93.00	48.31	['Gasdermin pore forming']	['ECO:0000259|Pfam:PF04598']	11.0..267.0	257	269							0.505639098	257	0.955390335
WP_142775046.1	GasderMIN	GasderMIN	Spirosoma sp. KCTC 42546	GCF_006965485_NZ_CP041360_GasderMIN_1	GCF_006965485.1_NZ_CP041360_05397	GCF_006965485.1_NZ_CP041360_05397	1	202	A0A515A5B6	A0A2V2RJT9	A0A811ZZM7	O60443	0.00002422	1	0.095	276	232	0	5	280	11	267	0.000004851	132	reviewed	GSDME_HUMAN	"Gasdermin-E (Inversely correlated with estrogen receptor expression 1) (ICERE-1) (Non-syndromic hearing impairment protein 5) [Cleaved into: Gasdermin-E, N-terminal (GSDME-NT); Gasdermin-E, C-terminal (GSDME-CT)]"	GSDME DFNA5 ICERE1	Homo sapiens (Human)			GSDME	DFNA5 ICERE1	UP000005640: Chromosome 7	cellular response to tumor necrosis factor [GO:0071356]; cellular response to virus [GO:0098586]; inner ear auditory receptor cell differentiation [GO:0042491]; negative regulation of cell population proliferation [GO:0008285]; positive regulation of immune response to tumor cell [GO:0002839]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of MAPK cascade [GO:0043410]; programmed cell death [GO:0012501]; pyroptotic cell death [GO:0141201]; pyroptotic inflammatory response [GO:0070269]; sensory perception of sound [GO:0007605]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886]	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886]; cardiolipin binding [GO:1901612]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; wide pore channel activity [GO:0022829]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to virus [GO:0098586]; inner ear auditory receptor cell differentiation [GO:0042491]; negative regulation of cell population proliferation [GO:0008285]; positive regulation of immune response to tumor cell [GO:0002839]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of MAPK cascade [GO:0043410]; programmed cell death [GO:0012501]; pyroptotic cell death [GO:0141201]; pyroptotic inflammatory response [GO:0070269]; sensory perception of sound [GO:0007605]"	"cardiolipin binding [GO:1901612]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; wide pore channel activity [GO:0022829]"	GO:0002839; GO:0005546; GO:0005737; GO:0005829; GO:0005886; GO:0007605; GO:0008285; GO:0012501; GO:0016020; GO:0022829; GO:0042491; GO:0043410; GO:0070269; GO:0071356; GO:0098586; GO:0141201; GO:1901612; GO:2001244				"IPR040460; Gasdermin_pore.;""IPR041263; Gasdermin_PUB."";""IPR042377; GSDME."";"	"PTHR15207:SF1; GASDERMIN-E; 1.;""PTHR15207; NONSYNDROMIC HEARING IMPAIRMENT PROTEIN; 1."";"	"PF04598; Gasdermin; 1.;""PF17708; Gasdermin_C; 1."";"			"NP_001120925.1; NM_001127453.2. [O60443-1];""NP_001120926.1; NM_001127454.2. [O60443-3]"";""NP_004394.1; NM_004403.3. [O60443-1]"";""XP_016867291.1; XM_017011802.2. [O60443-3]"";""XP_024302438.1; XM_024446670.2. [O60443-1]"";""XP_054213373.1; XM_054357398.1. [O60443-1]"";""XP_054213374.1; XM_054357399.1. [O60443-3]"";"	5.0..280.0	276	496							11.0..267.0	257	269							0.54233871	257	0.955390335
WP_142775046.1	GasderMIN	GasderMIN	Spirosoma sp. KCTC 42546	GCF_006965485_NZ_CP041360_GasderMIN_1	GCF_006965485.1_NZ_CP041360_05397	GCF_006965485.1_NZ_CP041360_05397	1	202	A0A515A5B6	A0A2V2RJT9	A0A811ZZM7	P57764	0.00002422	1	0.129	257	223	0	1	257	8	264	0.000004441	115	reviewed	GSDMD_HUMAN	"Gasdermin-D (Gasdermin domain-containing protein 1) [Cleaved into: Gasdermin-D, N-terminal (GSDMD-NT) (hGSDMD-NTD); Gasdermin-D, C-terminal (GSDMD-CT) (hGSDMD-CTD); Gasdermin-D, p13 (Gasdermin-D, 13 kDa) (13 kDa GSDMD); Gasdermin-D, p40]"	GSDMD DFNA5L GSDMDC1 FKSG10	Homo sapiens (Human)		FKSG10	GSDMD	DFNA5L GSDMDC1	UP000005640: Chromosome 8	defense response to bacterium [GO:0042742]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; innate immune response [GO:0045087]; pore complex assembly [GO:0046931]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; protein homooligomerization [GO:0051260]; protein secretion [GO:0009306]; pyroptotic cell death [GO:0141201]; pyroptotic inflammatory response [GO:0070269]	cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; membrane [GO:0016020]; mitochondrial membrane [GO:0031966]; NLRP3 inflammasome complex [GO:0072559]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]	"cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; membrane [GO:0016020]; mitochondrial membrane [GO:0031966]; NLRP3 inflammasome complex [GO:0072559]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]; cardiolipin binding [GO:1901612]; phosphatidic acid binding [GO:0070300]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; wide pore channel activity [GO:0022829]; defense response to bacterium [GO:0042742]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; innate immune response [GO:0045087]; pore complex assembly [GO:0046931]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; protein homooligomerization [GO:0051260]; protein secretion [GO:0009306]; pyroptotic cell death [GO:0141201]; pyroptotic inflammatory response [GO:0070269]"	"cardiolipin binding [GO:1901612]; phosphatidic acid binding [GO:0070300]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; wide pore channel activity [GO:0022829]"	GO:0001786; GO:0005546; GO:0005576; GO:0005615; GO:0005654; GO:0005829; GO:0005886; GO:0009306; GO:0016020; GO:0022829; GO:0031966; GO:0032731; GO:0035580; GO:0042742; GO:0045087; GO:0046931; GO:0050729; GO:0050829; GO:0050830; GO:0051260; GO:0070269; GO:0070273; GO:0070300; GO:0072559; GO:0141201; GO:1901612; GO:1904724; GO:1904813				"IPR007677; Gasdermin.;""IPR040460; Gasdermin_pore."";""IPR041263; Gasdermin_PUB."";"	"PTHR16399; GASDERMIN; 1.;""PTHR16399:SF15; GASDERMIN-D; 1."";"	"PF04598; Gasdermin; 1.;""PF17708; Gasdermin_C; 1."";"			"NP_001159709.1; NM_001166237.1.;""NP_079012.3; NM_024736.6."";"	1.0..257.0	257	484							8.0..264.0	257	269							0.555785124	257	0.955390335
WP_142775046.1	GasderMIN	GasderMIN	Spirosoma sp. KCTC 42546	GCF_006965485_NZ_CP041360_GasderMIN_1	GCF_006965485.1_NZ_CP041360_05397	GCF_006965485.1_NZ_CP041360_05397	1	202	A0A515A5B6	A0A2V2RJT9	A0A811ZZM7	Q9BYG8	0.00002422	1	0.116	265	227	0	5	269	12	269	0.000004124	117	reviewed	GSDMC_HUMAN	"Gasdermin-C (Melanoma-derived leucine zipper-containing extranuclear factor) [Cleaved into: Gasdermin-C, N-terminal (GSDMC-NT); Gasdermin-C, C-terminal (GSDMC-CT)]"	GSDMC MLZE	Homo sapiens (Human)			GSDMC	MLZE	UP000005640: Chromosome 8	defense response to bacterium [GO:0042742]; programmed cell death [GO:0012501]; pyroptotic inflammatory response [GO:0070269]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; defense response to bacterium [GO:0042742]; programmed cell death [GO:0012501]; pyroptotic inflammatory response [GO:0070269]"	"phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]"	GO:0001786; GO:0005546; GO:0005737; GO:0005829; GO:0005886; GO:0012501; GO:0042742; GO:0070269; GO:0070273				"IPR007677; Gasdermin.;""IPR040460; Gasdermin_pore."";""IPR041263; Gasdermin_PUB."";"	"PTHR16399; GASDERMIN; 1.;""PTHR16399:SF21; GASDERMIN-C; 1."";"	"PF04598; Gasdermin; 1.;""PF17708; Gasdermin_C; 1."";"			NP_113603.1; NM_031415.3.;	5.0..269.0	265	508							12.0..269.0	258	269							0.529527559	258	0.959107807
WP_182458775.1	GasderMIN	GasderMIN	Spirosoma foliorum	GCF_014117325_NZ_CP059732_GasderMIN_3	GCF_014117325.1_NZ_CP059732_05320	GCF_014117325.1_NZ_CP059732_05320	1	202	A0A7G5GRK1	A0A2V2RJT9	A0A811ZZM7	A0A024RA58	0.00002422	1	0.1	249	221	0	8	256	10	256	0.000002987	128																									8.0..256.0	249								10.0..256.0	247	267								247	0.925093633
WP_182458775.1	GasderMIN	GasderMIN	Spirosoma foliorum	GCF_014117325_NZ_CP059732_GasderMIN_3	GCF_014117325.1_NZ_CP059732_05320	GCF_014117325.1_NZ_CP059732_05320	1	202	A0A7G5GRK1	A0A2V2RJT9	A0A811ZZM7	A0A2R8Y5J4	0.00002422	1	0.148	271	222	0	3	273	1	261	0.000003009	136	unreviewed	A0A2R8Y5J4_HUMAN	Gasdermin C	GSDMC	Homo sapiens (Human)			GSDMC		UP000005640: Unplaced	programmed cell death [GO:0012501]	cytosol [GO:0005829]; plasma membrane [GO:0005886]	cytosol [GO:0005829]; plasma membrane [GO:0005886]; programmed cell death [GO:0012501]		GO:0005829; GO:0005886; GO:0012501				"IPR007677; Gasdermin.;""IPR040460; Gasdermin_pore."";""IPR041263; Gasdermin_PUB."";"	"PTHR16399; GASDERMIN; 1.;""PTHR16399:SF21; GASDERMIN-C; 1."";"	"PF04598; Gasdermin; 1.;""PF17708; Gasdermin_C; 1."";"				3.0..273.0	271	508							1.0..261.0	261	267							0.525590551	261	0.97752809
WP_182458775.1	GasderMIN	GasderMIN	Spirosoma foliorum	GCF_014117325_NZ_CP059732_GasderMIN_3	GCF_014117325.1_NZ_CP059732_05320	GCF_014117325.1_NZ_CP059732_05320	1	202	A0A7G5GRK1	A0A2V2RJT9	A0A811ZZM7	A4FTY0	0.00002422	1	0.096	255	229	0	3	256	2	256	0.000004381	128	unreviewed	A4FTY0_HUMAN	"Deafness, autosomal dominant 5"	DFNA5	Homo sapiens (Human)			DFNA5			programmed cell death [GO:0012501]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; programmed cell death [GO:0012501]		GO:0005737; GO:0005886; GO:0012501				"IPR040460; Gasdermin_pore.;""IPR041263; Gasdermin_PUB."";""IPR042377; GSDME."";"	"PTHR15207:SF1; GASDERMIN-E; 1.;""PTHR15207; NONSYNDROMIC HEARING IMPAIRMENT PROTEIN; 1."";"	"PF04598; Gasdermin; 1.;""PF17708; Gasdermin_C; 1."";"				3.0..256.0	254	496	1..246	99.19	96.06	51.21	['Gasdermin pore forming']	['ECO:0000259|Pfam:PF04598']	2.0..256.0	255	267							0.538306452	254	0.951310861
WP_182458775.1	GasderMIN	GasderMIN	Spirosoma foliorum	GCF_014117325_NZ_CP059732_GasderMIN_3	GCF_014117325.1_NZ_CP059732_05320	GCF_014117325.1_NZ_CP059732_05320	1	202	A0A7G5GRK1	A0A2V2RJT9	A0A811ZZM7	A8K410	0.00002422	1	0.096	249	222	0	8	256	10	256	0.000006507	121	unreviewed	A8K410_HUMAN	"cDNA FLJ78210, highly similar to Homo sapiens nonsyndromic hearing impairment protein (DFNA5) mRNA"		Homo sapiens (Human)						programmed cell death [GO:0012501]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; programmed cell death [GO:0012501]		GO:0005737; GO:0005886; GO:0012501				"IPR040460; Gasdermin_pore.;""IPR041263; Gasdermin_PUB."";""IPR042377; GSDME."";"	"PTHR15207:SF1; GASDERMIN-E; 1.;""PTHR15207; NONSYNDROMIC HEARING IMPAIRMENT PROTEIN; 1."";"	"PF04598; Gasdermin; 1.;""PF17708; Gasdermin_C; 1."";"				8.0..256.0	249	496	1..246	97.15	95.98	50.20	['Gasdermin pore forming']	['ECO:0000259|Pfam:PF04598']	10.0..256.0	247	267							0.538306452	247	0.925093633
WP_182458775.1	GasderMIN	GasderMIN	Spirosoma foliorum	GCF_014117325_NZ_CP059732_GasderMIN_3	GCF_014117325.1_NZ_CP059732_05320	GCF_014117325.1_NZ_CP059732_05320	1	202	A0A7G5GRK1	A0A2V2RJT9	A0A811ZZM7	G3V1A6	0.00002422	1	0.082	258	234	0	52	307	4	261	0.000001615	137	unreviewed	G3V1A6_HUMAN	Gasdermin D	GSDMD GSDMDC1 hCG_32063	Homo sapiens (Human)		hCG_32063	GSDMD	GSDMDC1	UP000005640: Chromosome 8	programmed cell death [GO:0012501]	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; programmed cell death [GO:0012501]		GO:0005654; GO:0005737; GO:0005886; GO:0012501				"IPR007677; Gasdermin.;""IPR040460; Gasdermin_pore."";""IPR041263; Gasdermin_PUB."";"	"PTHR16399; GASDERMIN; 1.;""PTHR16399:SF15; GASDERMIN-D; 1."";"	"PF04598; Gasdermin; 1.;""PF17708; Gasdermin_C; 1."";"				52.0..307.0	256	532	52..290	100.00	93.36	48.12	['Gasdermin pore forming']	['ECO:0000259|Pfam:PF04598']	4.0..261.0	258	267							0.501879699	256	0.958801498
WP_182458775.1	GasderMIN	GasderMIN	Spirosoma foliorum	GCF_014117325_NZ_CP059732_GasderMIN_3	GCF_014117325.1_NZ_CP059732_05320	GCF_014117325.1_NZ_CP059732_05320	1	202	A0A7G5GRK1	A0A2V2RJT9	A0A811ZZM7	O60443	0.00002422	1	0.096	249	222	0	8	256	10	256	0.000003971	129	reviewed	GSDME_HUMAN	"Gasdermin-E (Inversely correlated with estrogen receptor expression 1) (ICERE-1) (Non-syndromic hearing impairment protein 5) [Cleaved into: Gasdermin-E, N-terminal (GSDME-NT); Gasdermin-E, C-terminal (GSDME-CT)]"	GSDME DFNA5 ICERE1	Homo sapiens (Human)			GSDME	DFNA5 ICERE1	UP000005640: Chromosome 7	cellular response to tumor necrosis factor [GO:0071356]; cellular response to virus [GO:0098586]; inner ear auditory receptor cell differentiation [GO:0042491]; negative regulation of cell population proliferation [GO:0008285]; positive regulation of immune response to tumor cell [GO:0002839]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of MAPK cascade [GO:0043410]; programmed cell death [GO:0012501]; pyroptotic cell death [GO:0141201]; pyroptotic inflammatory response [GO:0070269]; sensory perception of sound [GO:0007605]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886]	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886]; cardiolipin binding [GO:1901612]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; wide pore channel activity [GO:0022829]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to virus [GO:0098586]; inner ear auditory receptor cell differentiation [GO:0042491]; negative regulation of cell population proliferation [GO:0008285]; positive regulation of immune response to tumor cell [GO:0002839]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of MAPK cascade [GO:0043410]; programmed cell death [GO:0012501]; pyroptotic cell death [GO:0141201]; pyroptotic inflammatory response [GO:0070269]; sensory perception of sound [GO:0007605]"	"cardiolipin binding [GO:1901612]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; wide pore channel activity [GO:0022829]"	GO:0002839; GO:0005546; GO:0005737; GO:0005829; GO:0005886; GO:0007605; GO:0008285; GO:0012501; GO:0016020; GO:0022829; GO:0042491; GO:0043410; GO:0070269; GO:0071356; GO:0098586; GO:0141201; GO:1901612; GO:2001244				"IPR040460; Gasdermin_pore.;""IPR041263; Gasdermin_PUB."";""IPR042377; GSDME."";"	"PTHR15207:SF1; GASDERMIN-E; 1.;""PTHR15207; NONSYNDROMIC HEARING IMPAIRMENT PROTEIN; 1."";"	"PF04598; Gasdermin; 1.;""PF17708; Gasdermin_C; 1."";"			"NP_001120925.1; NM_001127453.2. [O60443-1];""NP_001120926.1; NM_001127454.2. [O60443-3]"";""NP_004394.1; NM_004403.3. [O60443-1]"";""XP_016867291.1; XM_017011802.2. [O60443-3]"";""XP_024302438.1; XM_024446670.2. [O60443-1]"";""XP_054213373.1; XM_054357398.1. [O60443-1]"";""XP_054213374.1; XM_054357399.1. [O60443-3]"";"	8.0..256.0	249	496							10.0..256.0	247	267							0.538306452	247	0.925093633
WP_182458775.1	GasderMIN	GasderMIN	Spirosoma foliorum	GCF_014117325_NZ_CP059732_GasderMIN_3	GCF_014117325.1_NZ_CP059732_05320	GCF_014117325.1_NZ_CP059732_05320	1	202	A0A7G5GRK1	A0A2V2RJT9	A0A811ZZM7	P57764	0.00002422	1	0.092	261	234	0	1	259	1	261	0.000003484	129	reviewed	GSDMD_HUMAN	"Gasdermin-D (Gasdermin domain-containing protein 1) [Cleaved into: Gasdermin-D, N-terminal (GSDMD-NT) (hGSDMD-NTD); Gasdermin-D, C-terminal (GSDMD-CT) (hGSDMD-CTD); Gasdermin-D, p13 (Gasdermin-D, 13 kDa) (13 kDa GSDMD); Gasdermin-D, p40]"	GSDMD DFNA5L GSDMDC1 FKSG10	Homo sapiens (Human)		FKSG10	GSDMD	DFNA5L GSDMDC1	UP000005640: Chromosome 8	defense response to bacterium [GO:0042742]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; innate immune response [GO:0045087]; pore complex assembly [GO:0046931]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; protein homooligomerization [GO:0051260]; protein secretion [GO:0009306]; pyroptotic cell death [GO:0141201]; pyroptotic inflammatory response [GO:0070269]	cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; membrane [GO:0016020]; mitochondrial membrane [GO:0031966]; NLRP3 inflammasome complex [GO:0072559]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]	"cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; membrane [GO:0016020]; mitochondrial membrane [GO:0031966]; NLRP3 inflammasome complex [GO:0072559]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]; cardiolipin binding [GO:1901612]; phosphatidic acid binding [GO:0070300]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; wide pore channel activity [GO:0022829]; defense response to bacterium [GO:0042742]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; innate immune response [GO:0045087]; pore complex assembly [GO:0046931]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; protein homooligomerization [GO:0051260]; protein secretion [GO:0009306]; pyroptotic cell death [GO:0141201]; pyroptotic inflammatory response [GO:0070269]"	"cardiolipin binding [GO:1901612]; phosphatidic acid binding [GO:0070300]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; wide pore channel activity [GO:0022829]"	GO:0001786; GO:0005546; GO:0005576; GO:0005615; GO:0005654; GO:0005829; GO:0005886; GO:0009306; GO:0016020; GO:0022829; GO:0031966; GO:0032731; GO:0035580; GO:0042742; GO:0045087; GO:0046931; GO:0050729; GO:0050829; GO:0050830; GO:0051260; GO:0070269; GO:0070273; GO:0070300; GO:0072559; GO:0141201; GO:1901612; GO:1904724; GO:1904813				"IPR007677; Gasdermin.;""IPR040460; Gasdermin_pore."";""IPR041263; Gasdermin_PUB."";"	"PTHR16399; GASDERMIN; 1.;""PTHR16399:SF15; GASDERMIN-D; 1."";"	"PF04598; Gasdermin; 1.;""PF17708; Gasdermin_C; 1."";"			"NP_001159709.1; NM_001166237.1.;""NP_079012.3; NM_024736.6."";"	1.0..259.0	259	484							1.0..261.0	261	267							0.551652893	259	0.970037453
WP_182458775.1	GasderMIN	GasderMIN	Spirosoma foliorum	GCF_014117325_NZ_CP059732_GasderMIN_3	GCF_014117325.1_NZ_CP059732_05320	GCF_014117325.1_NZ_CP059732_05320	1	202	A0A7G5GRK1	A0A2V2RJT9	A0A811ZZM7	Q9BYG8	0.00002422	1	0.143	263	223	0	3	265	1	261	0.000001864	139	reviewed	GSDMC_HUMAN	"Gasdermin-C (Melanoma-derived leucine zipper-containing extranuclear factor) [Cleaved into: Gasdermin-C, N-terminal (GSDMC-NT); Gasdermin-C, C-terminal (GSDMC-CT)]"	GSDMC MLZE	Homo sapiens (Human)			GSDMC	MLZE	UP000005640: Chromosome 8	defense response to bacterium [GO:0042742]; programmed cell death [GO:0012501]; pyroptotic inflammatory response [GO:0070269]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; defense response to bacterium [GO:0042742]; programmed cell death [GO:0012501]; pyroptotic inflammatory response [GO:0070269]"	"phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]"	GO:0001786; GO:0005546; GO:0005737; GO:0005829; GO:0005886; GO:0012501; GO:0042742; GO:0070269; GO:0070273				"IPR007677; Gasdermin.;""IPR040460; Gasdermin_pore."";""IPR041263; Gasdermin_PUB."";"	"PTHR16399; GASDERMIN; 1.;""PTHR16399:SF21; GASDERMIN-C; 1."";"	"PF04598; Gasdermin; 1.;""PF17708; Gasdermin_C; 1."";"			NP_113603.1; NM_031415.3.;	3.0..265.0	263	508							1.0..261.0	261	267							0.525590551	261	0.97752809
